Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5XftHQSCGsMdyjtZcj2iu6,"2XzHxDFTNywDd5ReMhgxkg","I Want You","Just Gets Better With Time","The Whispers",1987-01-01,342533,10,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.791,0.841,0,-10.229,0,0.0701,0.14,0.0000137,0.0445,0.619,119.606,4
23fR57nSEJSAocLCdV6Oxn,"2XzHxDFTNywDd5ReMhgxkg","Special F/X","Just Gets Better With Time","The Whispers",1987-01-01,308240,11,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.76,0.642,9,-12.004,0,0.0408,0.0113,0.000541,0.0411,0.851,107.882,4
4RRs6lOD5L1KbQ56rp61RM,"2XzHxDFTNywDd5ReMhgxkg","Rock Steady - Radio Edit","Just Gets Better With Time","The Whispers",1987-01-01,243706,47,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.888,0.711,5,-11.477,0,0.0577,0.00808,0.00000248,0.0432,0.96,116.342,4
5WqgiNOCdZRtfDig9K40Bv,"2XzHxDFTNywDd5ReMhgxkg","No Pain, No Gain - Radio Edit","Just Gets Better With Time","The Whispers",1987-01-01,251240,13,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.726,0.726,9,-12.598,0,0.061,0.176,0.000151,0.294,0.685,98.798,4
3eoogy5t22LZ6xozYoqb8o,"2XzHxDFTNywDd5ReMhgxkg","In the Mood","Just Gets Better With Time","The Whispers",1987-01-01,285773,40,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.643,0.471,10,-13.05,0,0.0336,0.342,0.000202,0.0845,0.623,73.482,4
4MZUyVoXcfO3NDPqKg1sYO,"2XzHxDFTNywDd5ReMhgxkg","Just Gets Better With Time","Just Gets Better With Time","The Whispers",1987-01-01,270640,35,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.694,0.771,6,-10.797,0,0.04,0.254,0,0.101,0.793,130.611,3
4iwML4UzhIHiCcPVFUfV71,"2XzHxDFTNywDd5ReMhgxkg","Love's Calling","Just Gets Better With Time","The Whispers",1987-01-01,298066,26,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.572,0.363,10,-12.262,1,0.0311,0.493,0,0.196,0.336,122.185,4
3RMVltAuNfaLyGL4f7FvcK,"2XzHxDFTNywDd5ReMhgxkg","Give It to Me","Just Gets Better With Time","The Whispers",1987-01-01,321760,26,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.599,0.512,1,-10.777,1,0.0351,0.226,0,0.0801,0.535,127.195,4
7ps9ottaMUNH2HhXEi9fGU,"2XzHxDFTNywDd5ReMhgxkg","Rock Steady - 12 Mix","Just Gets Better With Time","The Whispers",1987-01-01,309600,23,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.861,0.746,10,-10.309,0,0.0598,0.00667,0.00000151,0.0418,0.961,116.383,4
5hi2NSoj6Sz7sTIX7IicPl,"2XzHxDFTNywDd5ReMhgxkg","No Pain, No Gain - 12 Mix","Just Gets Better With Time","The Whispers",1987-01-01,309400,7,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.808,0.744,10,-12.511,0,0.0566,0.00129,0.844,0.0375,0.838,116.372,4
4qb4NxF0478cDBIAiVxoef,"2XzHxDFTNywDd5ReMhgxkg","Special F/x - 12 Mix","Just Gets Better With Time","The Whispers",1987-01-01,298666,8,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.743,0.685,9,-11.829,0,0.0636,0.0126,0.0211,0.309,0.702,99.896,4
123BNCaMzsjJDja2n66ZZh,"2XzHxDFTNywDd5ReMhgxkg","No Pain, No Gain - 12 Dub","Just Gets Better With Time","The Whispers",1987-01-01,323640,6,spotify:user:seankmchenry,2022-10-15T15:39:21Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.791,0.608,7,-12.617,1,0.0902,0.0019,0.00291,0.227,0.56,99.899,4
5BmmCEPNTFmmJ8hsIByMGb,"2XzHxDFTNywDd5ReMhgxkg","Tonight","Love for Love","The Whispers",1983-01-01,370026,24,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.802,0.672,10,-9.419,0,0.0562,0.00185,0.0508,0.281,0.686,114.358,4
3SiUv5vf79EuP0VjIZJ9A2,"2XzHxDFTNywDd5ReMhgxkg","Keep On Lovin' Me","Love for Love","The Whispers",1983-01-01,349133,46,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.815,0.513,0,-8.196,1,0.036,0.00024,0.471,0.0811,0.848,110.871,4
5QhsSY5GDveLoz1zuAaf06,"2XzHxDFTNywDd5ReMhgxkg","Love for Love","Love for Love","The Whispers",1983-01-01,263160,15,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.709,0.713,5,-9.337,1,0.0288,0.0397,0.0000413,0.115,0.685,106.352,4
2wNCgKbz0PNDxu6pF89p8u,"2XzHxDFTNywDd5ReMhgxkg","This Time","Love for Love","The Whispers",1983-01-01,327173,17,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.463,0.335,4,-10.305,1,0.0257,0.173,0,0.225,0.103,143.126,4
2UKutx2wihkUR60huuoodb,"2XzHxDFTNywDd5ReMhgxkg","Had It Not Been for You","Love for Love","The Whispers",1983-01-01,251093,23,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.511,0.397,9,-9.552,0,0.027,0.0131,0.0000145,0.112,0.185,149.873,3
1THilC57m4PLya2gW8WZo7,"2XzHxDFTNywDd5ReMhgxkg","Try It Again","Love for Love","The Whispers",1983-01-01,227173,22,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.704,0.546,0,-8.179,1,0.0379,0.269,0,0.106,0.618,126.26,3
0HmLZ81wEiZll5vCzATIqg,"2XzHxDFTNywDd5ReMhgxkg","Do They Turn You On","Love for Love","The Whispers",1983-01-01,318360,22,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.61,0.575,1,-6.508,0,0.0273,0.0109,0,0.119,0.634,108.345,3
32bDL81WoE9KCh7UjLvWhT,"2XzHxDFTNywDd5ReMhgxkg","Keep Your Love Around","Love for Love","The Whispers",1983-01-01,247106,13,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.377,0.605,1,-5.491,1,0.0277,0.0332,0,0.104,0.373,99.091,4
28XK9z09a5edi65eW81mse,"2XzHxDFTNywDd5ReMhgxkg","Lay It On Me","Love for Love","The Whispers",1983-01-01,234880,15,spotify:user:seankmchenry,2022-10-15T15:39:29Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.686,0.573,7,-10.312,1,0.0425,0.00158,0.0000719,0.0551,0.505,63.314,4
2q2Nlr8CN70p93lp0LZyQQ,"2XzHxDFTNywDd5ReMhgxkg","In the Raw","Love Is Where You Find It","The Whispers",1981-06-01,354306,19,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.845,0.554,0,-7.144,0,0.0575,0.0374,0.000207,0.0203,0.918,114.975,4
0gGQQCVRG11C1y7DkQyah9,"2XzHxDFTNywDd5ReMhgxkg","Turn Me Out","Love Is Where You Find It","The Whispers",1981-06-01,350746,17,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.725,0.808,0,-7.386,0,0.0424,0.0562,0.0794,0.15,0.964,108.595,4
5Txlux4aFDx7Pha8B1wKf1,"2XzHxDFTNywDd5ReMhgxkg","Cruisin' In","Love Is Where You Find It","The Whispers",1981-06-01,187293,14,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.796,0.708,0,-8.416,1,0.0847,0.202,0.000412,0.0921,0.817,98.301,4
74SELdoM4LpkGiRTGUGxPs,"2XzHxDFTNywDd5ReMhgxkg","Emergency","Love Is Where You Find It","The Whispers",1981-06-01,257853,25,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.851,0.808,0,-7.135,0,0.0413,0.0965,0.00156,0.136,0.964,113.625,4
5ElMb8vsql1VfLXEauDJCy,"2XzHxDFTNywDd5ReMhgxkg","Say Yes","Love Is Where You Find It","The Whispers",1981-06-01,308493,23,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.605,0.597,4,-6.369,1,0.0545,0.201,0.000223,0.111,0.657,120.997,3
3NrDnER9m0NwUXMFqnHVGE,"2XzHxDFTNywDd5ReMhgxkg","Love Is Where You Find It","Love Is Where You Find It","The Whispers",1981-06-01,320133,22,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.707,0.633,7,-8.296,0,0.161,0.344,0.00000117,0.141,0.878,81.842,4
1JK9IvEjKM9xT9LkercwVU,"2XzHxDFTNywDd5ReMhgxkg","Only You","Love Is Where You Find It","The Whispers",1981-06-01,267093,14,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.571,0.475,0,-8.497,1,0.0292,0.455,0.000265,0.133,0.38,129.586,4
4xuRhHG7DCE0DsQPIVzekr,"2XzHxDFTNywDd5ReMhgxkg","Small Talkin'","Love Is Where You Find It","The Whispers",1981-06-01,239453,11,spotify:user:seankmchenry,2022-10-15T15:39:32Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.616,0.49,1,-8.86,0,0.101,0.366,0,0.0645,0.434,147.994,4
4TvS5zmduTlP6xvqUNjlbi,"2XzHxDFTNywDd5ReMhgxkg","Imagination","Imagination","The Whispers",1980,310179,14,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.718,0.828,6,-6.94,0,0.0572,0.108,0.00101,0.0789,0.838,122.446,4
61D1EVoIKsrb86W0q8vXvy,"2XzHxDFTNywDd5ReMhgxkg","It's a Love Thing","Imagination","The Whispers",1980,375354,23,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.782,0.663,5,-9.743,0,0.0848,0.11,0.00105,0.172,0.918,118.022,4
6WHlFnxpTv1nxegykbUm8X,"2XzHxDFTNywDd5ReMhgxkg","Say You - Would Love for Me Too","Imagination","The Whispers",1980,304321,23,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.557,0.554,7,-8.068,1,0.0368,0.138,0.0000109,0.262,0.46,105.835,3
7yi1dQYXbhTkshKRf8zC7C,"2XzHxDFTNywDd5ReMhgxkg","Continental Shuffle","Imagination","The Whispers",1980,268921,7,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.74,0.801,0,-7.855,0,0.0928,0.15,0.00000652,0.0548,0.807,113.772,4
7go7XsMWDWFKWikwNXPy9u,"2XzHxDFTNywDd5ReMhgxkg","I Can Make It Better","Imagination","The Whispers",1980,434730,24,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.803,0.812,0,-7.209,0,0.0607,0.0844,0.000969,0.0636,0.963,119.984,4
4i3CvKG5Gy4hKNHdtwlcrN,"2XzHxDFTNywDd5ReMhgxkg","Girl I Need You","Imagination","The Whispers",1980,259358,13,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.5,0.446,7,-10.595,1,0.0335,0.29,0.0000013,0.346,0.186,129.647,4
1Pd78yKYBM7fHFwpVcrG1R,"2XzHxDFTNywDd5ReMhgxkg","Up On Soul Train","Imagination","The Whispers",1980,315505,14,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.812,0.753,0,-7.687,1,0.0582,0.035,0.0608,0.0338,0.957,120.87,4
0IEmBToypnLgSpHQ5w4K69,"2XzHxDFTNywDd5ReMhgxkg","Fantasy","Imagination","The Whispers",1980,261687,8,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.48,0.521,5,-10.416,1,0.0393,0.166,0.00000119,0.121,0.424,104.723,4
0ZDWyibt4bwydOcn8aU4e1,"2XzHxDFTNywDd5ReMhgxkg","It's a Love Thing - Radio Mix","Imagination","The Whispers",1980,225441,16,spotify:user:seankmchenry,2022-10-15T15:39:33Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.792,0.707,5,-7.217,0,0.114,0.141,0.00211,0.275,0.946,118.009,4
03zTrlIwy0xSM8Fpagtf0q,"2XzHxDFTNywDd5ReMhgxkg","Headlights","Headlights","The Whispers",1978-01-01,465746,9,spotify:user:seankmchenry,2022-10-15T15:39:35Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.708,0.841,1,-7.829,1,0.102,0.0462,0.157,0.0309,0.907,121.423,4
0ZYCzeWNepsmQhr9KkZTxO,"2XzHxDFTNywDd5ReMhgxkg","(Olivia) Lost and Turned Out","Headlights","The Whispers",1978-01-01,244226,44,spotify:user:seankmchenry,2022-10-15T15:39:35Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.422,0.521,10,-9.273,0,0.0362,0.262,0.00000111,0.144,0.472,161.095,3
