Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2JK1wOZCGUDbJOSaHAa8BM,"2enKa9Yqr6PZy3xGlxQEu7","Kiss You All Over","Super Hits","Exile",1993,216600,45,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"yacht rock",0.736,0.301,0,-15.689,1,0.0284,0.254,0.000534,0.119,0.553,102.405,4
6eg9DYfZBvIC7mFFG8bFWm,"340HmOr2JbZmH0a385jG52","Lay me down","Reaching for the sky","Renee",1980,233573,37,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"",0.936,0.315,6,-15.498,0,0.0526,0.289,0.002,0.101,0.959,100.264,4
3Sm5TYFgMXyXwgAcY2xweX,"0WgyCbru4tXnMsbTmX4mFw","So Into You","A Rock And Roll Alternative","Atlanta Rhythm Section",1976-12,260866,61,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock,southern rock,yacht rock",0.622,0.409,5,-13.484,0,0.0362,0.65,0.023,0.142,0.785,86.173,4
3CSLUIrI2KPMulHR5bh17O,"3VJakY5Yw5phAOF4Bada5v","Harden My Heart","Quarterflash","Quarterflash",1981-01-01,232626,53,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,new wave pop,soft rock",0.531,0.43,11,-14.523,0,0.0578,0.0568,0.00000122,0.0964,0.453,124.284,4
5WJRGSwiEZwoU1nZp2RXIE,"6P7H3ai06vU1sGvdpBwDmE","Razor Boy","Countdown To Ecstasy","Steely Dan",1973-01-01,190306,40,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,yacht rock",0.61,0.449,2,-11.883,1,0.0502,0.609,0,0.113,0.529,121.831,4
3ZZq9396zv8pcn5GYVhxUi,"0f3EsoviYnRKTkmayI3cux","Down Under","Business As Usual","Men At Work",1981-11-09,222320,70,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,australian rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock",0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4
2R3E4xKmy7lyieBKONkIMT,"0PFtn5NtBbbUNbU9EAmIWF","99","Hydra","TOTO",1979-10-01,316053,52,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.482,0.471,10,-13.873,0,0.0334,0.181,0.00167,0.112,0.342,88.557,4
5rfJ2Bq2PEL8yBjZLzouEu,"0f3EsoviYnRKTkmayI3cux","Who Can It Be Now?","Business As Usual","Men At Work",1981-11-09,201293,67,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,australian rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock",0.805,0.479,4,-14.734,1,0.0436,0.0627,0.000143,0.104,0.962,128.411,4
3EH15Nl5pho0XrIqmOmbno,"4Tw2N3wdvJPGEU7JqMxFfE","Maybe I'm a Fool","Life For The Taking","Eddie Money",1978,184400,20,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,country rock,folk rock,hard rock,mellow gold,pop rock,rock,soft rock",0.678,0.487,0,-13.761,0,0.0312,0.0501,0.0000859,0.0754,0.824,96.056,4
1C2jcZMbinHN9xIGOBEU1N,"77tT1kLj6mCWtFNqiOmP9H","Open All Night","H2O","Daryl Hall & John Oates",1982-10-04,274946,30,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.61,0.504,0,-12.14,0,0.0235,0.082,0.0000308,0.104,0.781,78.818,4
7j74lucZ59vqN67Ipe2ZcY,"77tT1kLj6mCWtFNqiOmP9H","Maneater","H2O","Daryl Hall & John Oates",1982-10-04,273173,73,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.724,0.498,11,-13.083,0,0.0423,0.0405,0.0000856,0.0761,0.823,88.825,4
78FHUZRbFDCG6VkRAQdFLm,"7Bah8E0kCETqEpAHI6CPzQ","Broken Wings","Welcome To The Real World","Mr. Mister",1985-11-27,343933,69,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop",0.286,0.5,1,-14.281,0,0.0357,0.134,0.0000457,0.108,0.443,99.162,4
1NZAeh2a8Y6Ry5hGBPGP1e,"6GI52t8N5F02MxU0g5U69P","Hold On","Shango","Santana",1983-09-06,261026,52,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"blues rock,classic rock,mexican classic rock",0.671,0.516,7,-15.981,0,0.0519,0.488,0.000028,0.138,0.711,124.699,4
2cFl7utlqyZjCXN1G5nRvA,"7A9yZMTrFZcgEWAX2kBfK6","Stuck With You","Fore!","Huey Lewis & The News",1986-01-01,269573,64,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,mellow gold,new wave pop,pop rock,rock,soft rock",0.704,0.544,4,-11.402,0,0.026,0.0873,0.0000166,0.041,0.628,120.717,4
2E2ZVy2fxslpAUgbb4zu84,"6QtGlUje9TIkLrgPZrESuk","Abracadabra","Abracadabra","Steve Miller Band",1982-01-01,308373,64,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,psychedelic rock,rock,soft rock",0.791,0.535,9,-13.261,0,0.0355,0.0749,0.00000196,0.156,0.963,127.488,4
7pFydJbDEToJHtvl6g579k,"7wJ9NwdRWtN92NunmXuwBk","(Forever) Live And Die","The Pacific Age","Orchestral Manoeuvres In The Dark",1986-09-29,218133,53,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"new romantic,new wave,new wave pop,permanent wave,synthpop",0.605,0.545,0,-13.603,1,0.0297,0.0902,0.244,0.149,0.865,90.179,4
38E7U60ipLSTVDcPIuVzZw,"530Sdm7eqqzWBdDmILMgnu","Every Kinda People","Double Fun","Robert Palmer",1978-01-01,198146,61,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,art rock,blues rock,classic rock,dance rock,disco,folk rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,yacht rock",0.573,0.545,6,-12.636,1,0.0436,0.228,0.000169,0.0466,0.95,94.404,4
5IK2FtuC0qmHHam9sWFxUI,"0rvjqX7ttXeg3mTy8Xscbt","Who's Crying Now","Escape","Journey",1981,300146,59,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",0.57,0.554,9,-9.732,0,0.0288,0.0548,0,0.139,0.372,122.135,4
3ieDOGcOqVxScs2VZBzidt,"0k17h0D3J5VfsdmQ1iZtE9","Learning to Fly","A Momentary Lapse of Reason","Pink Floyd",1987-09-08,292080,60,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.442,0.56,0,-13.681,1,0.0361,0.252,0.0322,0.151,0.475,166.585,4
6ryzreUu7YzUGjWNBpkPKp,"6qjDKqoT1Psj40GF4ga77w","Why Me?","Planet P Project","Planet P Project",1983-01-01,246360,40,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"",0.589,0.568,4,-15.479,0,0.0382,0.0108,0.00158,0.104,0.651,98.088,4
2tHA8Z3oj4KUwqkJr6HfqD,"4rPZAvpw9ObVO3HFGWSHwt","Satisfaction Guaranteed","The Firm","The Firm",1985,250440,40,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,supergroup",0.481,0.573,0,-13.793,1,0.0468,0.251,0,0.0366,0.6,137.198,4
7yQNqjXp9BAGAppPGkTbYf,"3cniTumSiUysiPWXapGx1i","I've Been In Love Before","Broadcast","Cutting Crew",1986-01-01,308133,59,spotify:user:seankmchenry,2020-11-12T15:11:34Z,"album rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop",0.489,0.568,2,-13.329,1,0.0281,0.0562,0.0107,0.21,0.86,146.009,4
