Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
431m3mPOG5G4GPKfXZaB0x,"SPEED OF LOVE","ALONE","Masayoshi Takanaka",1981,317000,37,seankmchenry,2023-10-20T13:14:44Z,"classic japanese jazz","Universal Music LLC",0.718,0.817,11,-9.134,0,0.0526,0.0792,0.849,0.228,0.961,127.258,4
5AAiXIsyUoy8HRVlmOzMk8,"ALONE","ALONE","Masayoshi Takanaka",1981,341000,36,seankmchenry,2023-10-20T13:14:44Z,"classic japanese jazz","Universal Music LLC",0.699,0.618,7,-10.98,0,0.0271,0.173,0.878,0.204,0.752,116.558,4
7bDFa91cqnR56BSMh9nXve,"ハワイへ行きたい","脚線美の誘惑","T-SQUARE",1982-11-21,278826,12,seankmchenry,2023-10-20T13:39:03Z,"japanese jazz,japanese jazz fusion","Sony Music Direct (Japan) Inc.",0.724,0.838,5,-5.567,0,0.0304,0.0572,0.251,0.097,0.899,128.422,4
6aqwnrH9QQgUjluBPaOpqw,"脚線美の誘惑","脚線美の誘惑","T-SQUARE",1982-11-21,267853,10,seankmchenry,2023-10-20T13:39:03Z,"japanese jazz,japanese jazz fusion","Sony Music Direct (Japan) Inc.",0.692,0.765,10,-6.803,1,0.0345,0.0715,0.671,0.074,0.888,145.6,4
5h0NIQ6wM4pmFHW0MviNhd,"SABANA HOTEL","うち水にRainbow","T-SQUARE",1983-05-21,301866,12,seankmchenry,2023-10-20T13:39:17Z,"japanese jazz,japanese jazz fusion","Sony Music Direct (Japan) Inc.",0.617,0.89,5,-4.245,1,0.0423,0.48,0.834,0.055,0.612,126.757,4
680Gqsss2rU91Yc4NG52cl,"HANK & CLIFF","うち水にRainbow","T-SQUARE",1983-05-21,319893,23,seankmchenry,2023-10-20T13:39:17Z,"japanese jazz,japanese jazz fusion","Sony Music Direct (Japan) Inc.",0.747,0.792,5,-6.386,1,0.0298,0.0885,0.833,0.085,0.792,105.481,4
4ZxtydSHCl0eZ9a9CWtOIF,"SEXY DANCE","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,352013,45,seankmchenry,2023-10-20T13:12:33Z,"classic japanese jazz","Universal Music LLC",0.632,0.709,2,-12.069,1,0.0404,0.176,0.728,0.19,0.805,115.443,4
6hipqU5v9PM00zWVHscDUE,"AN INSATIABLE HIGH","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,609013,38,seankmchenry,2023-10-20T13:12:33Z,"classic japanese jazz","Universal Music LLC",0.464,0.481,0,-14.614,1,0.0557,0.277,0.792,0.0393,0.687,146.08,4
4ZNYJOxZ1Sy31bONMhaxJo,"E. S. P.","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,251000,45,seankmchenry,2023-10-20T13:12:33Z,"classic japanese jazz","Universal Music LLC",0.798,0.516,6,-14.211,0,0.084,0.201,0.0821,0.084,0.934,119.192,4
4GLwyVlSeZUCRXRXugFiOJ,"A Fair Wind","SAUDADE","Masayoshi Takanaka",1982,273000,31,seankmchenry,2023-10-20T13:14:57Z,"classic japanese jazz","Universal Music LLC",0.635,0.847,2,-7.282,1,0.0371,0.0097,0.12,0.335,0.613,119.677,4
2HhsMisHSRVNhixTiwKLWl,"Saudade","SAUDADE","Masayoshi Takanaka",1982,221013,32,seankmchenry,2023-10-20T13:14:57Z,"classic japanese jazz","Universal Music LLC",0.645,0.842,0,-7.896,1,0.0343,0.00409,0.616,0.0355,0.867,106.794,4
2Qbio0c21NFhE2cRdVEWAk,"Chill Me Out","SAUDADE","Masayoshi Takanaka",1982,277000,36,seankmchenry,2023-10-20T13:14:57Z,"classic japanese jazz","Universal Music LLC",0.745,0.709,11,-8.961,0,0.0353,0.00766,0.0474,0.143,0.881,114.071,4
2ctRbywtQWOCU8hg0XTHL9,"Time","Time","Hiroshi Sato",1977-01-25,53880,19,seankmchenry,2023-10-20T13:28:12Z,"classic city pop","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.621,0.62,0,-7.874,1,0.0752,0.937,0.894,0.153,0.293,155.495,4
3tofcVtGArrOfxv11rkPXv,"Joint","Time","Hiroshi Sato",1977-01-25,257079,13,seankmchenry,2023-10-20T13:28:12Z,"classic city pop","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.467,0.924,2,-8.267,1,0.0567,0.538,0.613,0.122,0.786,112.091,4
4xgtR1FgicdXVOGHmc28Nn,"Choit","Time","Hiroshi Sato",1977-01-25,165813,7,seankmchenry,2023-10-20T13:28:12Z,"classic city pop","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.756,0.695,0,-5.978,1,0.0615,0.496,0.111,0.0556,0.962,154.115,4
60PLU19YHsACxaqBIst3wb,"SOUND OF SCIENCE","SOUND OF SCIENCE","Hiroshi Sato",1986-07-25,162293,2,seankmchenry,2023-10-20T13:32:51Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.801,0.599,2,-8.901,0,0.0927,0.216,0.148,0.13,0.288,120.034,4
6CSwApY5NbXVXEZO8QvElN,"SOMETHING IN THE AIR","SOUND OF SCIENCE","Hiroshi Sato",1986-07-25,280213,3,seankmchenry,2023-10-20T13:32:51Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.756,0.682,11,-7.759,0,0.0623,0.0371,0.000928,0.0559,0.717,103.008,4
6NrezF0Ckkt2blfyDGIN1W,"MYSTERY ZONE","SOUND OF SCIENCE","Hiroshi Sato",1986-07-25,266973,3,seankmchenry,2023-10-20T13:32:51Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.675,0.831,10,-6.423,0,0.0489,0.0229,0.000153,0.028,0.961,142.975,4
6zDgYObuYVCtVWnssw4myl,"YOU'RE MY BABY","Awakening","Hiroshi Sato",1982,229013,32,seankmchenry,2023-10-20T13:32:30Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.714,0.484,0,-10.653,0,0.0354,0.532,0.000408,0.293,0.535,140.166,4
7gfgEYOu87JZ6OORivWShX,"BLUE AND MOODY MUSIC","Awakening","Hiroshi Sato",1982,277226,34,seankmchenry,2023-10-20T13:32:30Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.797,0.408,11,-9.638,0,0.0314,0.694,0.0016,0.0978,0.63,118.775,4
5EyMROX5H4xyZ3x8Qf4Tuj,"ONLY A LOVE AFFAIR","Awakening","Hiroshi Sato",1982,294986,27,seankmchenry,2023-10-20T13:32:30Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.778,0.573,5,-9.546,1,0.0414,0.473,0.000465,0.0823,0.865,97.158,4
0JPe8VJmhwYrRNnXdqaXOA,"I CAN'T WAIT","Awakening","Hiroshi Sato",1982,258053,31,seankmchenry,2023-10-20T13:32:30Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.761,0.564,6,-8.24,1,0.0402,0.486,0.000398,0.126,0.715,144.752,4
439YMLXTadwJM1AunVQf1V,"SAY GOODBYE","Awakening","Hiroshi Sato",1982,206320,42,seankmchenry,2023-10-20T13:32:30Z,"classic city pop","Sony Music Direct (Japan) Inc.",0.772,0.67,5,-8.514,1,0.0563,0.484,0.000249,0.0545,0.882,111.02,4
5Dra6dW1mc7BOh833TDowz,"First Light - 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,273220,44,seankmchenry,2023-10-20T13:11:30Z,"classic city pop","WM Japan",0.68,0.8,1,-6.942,1,0.0377,0.196,0.00207,0.4,0.645,128.999,4
