Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Dg6kmu5AxG4iSdwB83HAc,"2vUpX2Zq1DBdCHuoEnmzkK","Life Of Plants & Flowers","Iris","Tom Trago",2011-03-28,276986,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.738,0.621,7,-8.85,0,0.0661,0.048,0.93,0.137,0.352,124.993,4
2bhAhaxQU6P5W9eSDS8OiI,"2vUpX2Zq1DBdCHuoEnmzkK","Being With You","Iris","Tom Trago",2011-03-28,216906,1,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.732,0.613,10,-8.564,0,0.0461,0.24,0.811,0.146,0.404,119.981,4
0mphRkO1aVnTcCo7neFfFw,"2vUpX2Zq1DBdCHuoEnmzkK","Space Balloon","Iris","Tom Trago",2011-03-28,242053,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.656,0.423,7,-9.621,1,0.0384,0.038,0.861,0.223,0.402,121.998,5
0soRNtIEASPHn1vaJ2ohLw,"2vUpX2Zq1DBdCHuoEnmzkK","What You Do (feat Tyree Cooper)","Iris","Tom Trago",2011-03-28,292706,2,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.884,0.381,7,-9.597,1,0.179,0.258,0.781,0.0988,0.586,122,4
2ua3p5SwaWd2dFCHdxxSbB,"2vUpX2Zq1DBdCHuoEnmzkK","Rootstopia","Iris","Tom Trago",2011-03-28,134333,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.876,0.909,4,-6.845,0,0.118,0.0634,0.845,0.335,0.824,116.029,4
5AGHrXsnG764YfNNWlfcwa,"2vUpX2Zq1DBdCHuoEnmzkK","Suckers For Fools (feat Oliver Daysoul)","Iris","Tom Trago",2011-03-28,208280,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.806,0.487,1,-9.251,0,0.0585,0.0116,0.574,0.111,0.379,120.014,4
1hG11rIRhnOmSu2VNxU8SC,"2vUpX2Zq1DBdCHuoEnmzkK","Watch Me (feat Meikbar)","Iris","Tom Trago",2011-03-28,197093,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.644,0.53,6,-9.845,0,0.0986,0.514,0.431,0.373,0.487,112.65,4
70LUNnv3qtt9Wklaslo4AI,"2vUpX2Zq1DBdCHuoEnmzkK","Gave Me The Love","Iris","Tom Trago",2011-03-28,289213,2,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.712,0.89,10,-6.286,0,0.0421,0.0945,0.894,0.262,0.775,127.009,4
2JnhOGH6lENCYLAPj0Gm9O,"2vUpX2Zq1DBdCHuoEnmzkK","Soon In A Cinema","Iris","Tom Trago",2011-03-28,117146,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.523,0.514,4,-12.255,0,0.0281,0.583,0.976,0.313,0.164,122.057,4
3icgb8HMmThr840tYO4o59,"2vUpX2Zq1DBdCHuoEnmzkK","So Cold (feat Om'mas)","Iris","Tom Trago",2011-03-28,179506,0,spotify:user:seankmchenry,2023-01-24T19:21:49Z,"dutch house",0.723,0.783,10,-9.384,1,0.0473,0.293,0.686,0.218,0.599,118.956,4
