Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1pcG5AKS1PTa5sz9cBOCLZ,"59QKG3eYCCmqC6SqUwXvSw","Get It Up For Love","Hard Candy","Ned Doheny",1976-12-02,281733,45,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:26:34Z,"deep soft rock,yacht rock",0.678,0.622,2,-10.824,1,0.0828,0.32,0.0000946,0.0251,0.701,81.718,4
4wmAtcrUvLtzrqGxgnj1yO,"0U2uKHFls6w20rugUqC8yN","Let's Put Our Love Back Together","Come On In","Denny McCaffrey",2014-03-01,193626,2,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:29:41Z,"",0.358,0.853,8,-6.518,1,0.077,0.637,0,0.0987,0.747,173.1,4
6m9xfrLTPSA9BEn9Shlrgw,"0TqIPD4IS1w4e30R38B3vj","Deco Lady - Rupert Holmes","Songs That Sound Like Movies: The Complete Epic Recordings","Rupert Holmes",2018-02-23,226266,6,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:30:04Z,"soft rock,yacht rock",0.689,0.767,7,-9.055,1,0.042,0.307,0.0000263,0.381,0.796,90.317,4
2l51REbzivGUzHXKdaRJLI,"7w7YUIdmi04Z0ebiOQsQID","Liverpool Fool - 2007 Remaster","Browning Bryant (2007 Remaster)","Browning Bryant",1974-01-01,153946,11,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2021-09-29T23:05:10Z,"",0.725,0.8,8,-5.559,1,0.0635,0.227,0.0000705,0.101,0.967,98.813,4
1nODzdnAcrH2JWapFxHoW9,"0JxWz42OKiQ0V3KzA4mDF1","Do You Feel It","Netherland","Alessi Brothers",2020-07-31,298333,7,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2021-09-29T23:05:57Z,"yacht rock",0.359,0.487,1,-8.192,1,0.0569,0.27,0.00496,0.0771,0.171,85.741,4
2bS2tETCzUmjALnXEvhOGo,"0NCXrh1XOnHNp4mM0JUFJw","Lotta Love","Nicolette","Nicolette Larson",1978,191773,53,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:33:05Z,"adult standards,classic uk pop,country rock,mellow gold,soft rock,yacht rock",0.646,0.406,5,-15.616,0,0.0264,0.159,0.00114,0.27,0.895,113.708,4
161mql1u3hceMfKpRlgPk3,"30hP1jEM2nQ7ehVc5Vshed","Room to Grow","Brian Elliot","Brian Elliot",1978,207733,13,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:42:59Z,"deep soft rock,yacht rock",0.626,0.633,10,-9.704,0,0.0402,0.261,0.0000162,0.0341,0.876,104.003,4
6suCI1pLqqvVVLLvLzjoKc,"3iDD7bnsjL9J4fO298r0L0","Saturday in the Park","Chicago IX: Chicago's Greatest Hits","Chicago",1975-11-10,235800,48,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:43:24Z,"adult standards,album rock,classic rock,folk rock,mellow gold,soft rock,yacht rock",0.679,0.601,7,-11.758,1,0.0313,0.0894,0,0.0617,0.668,114.388,4
15EPMrQWa8jn5cxho1htQS,"5XnmUSByz7GDBXjtsCySls","Shut The Door","Lucky Girl","Don Brown",2011-03-01,266893,14,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:43:55Z,"",0.552,0.477,5,-12.443,0,0.0388,0.228,0.0813,0.109,0.873,80.966,4
3XJC8vRhbtm3NzHXE1XAta,"4xoTZnaFX7xWz76sVSgg7u","If I Saw You Again","Pages","Pages",1978-11-26,204666,43,spotify:user:5y3gnj53bpjqqzlvmr0tqxue1,2018-05-08T09:55:16Z,"deep soft rock,yacht rock",0.757,0.425,0,-13.619,0,0.0364,0.226,0.000022,0.21,0.854,109.532,4
