Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1OjWiPr83JYu0HHXSUM9YI,"Come Back to Me","Come Back to Me","Stefano Ritteri,Pino Presti",2020-04-10,366000,26,seankmchenry,2024-06-16T15:19:46Z,"italian jazz","Spaziale Recordings",0.77,0.852,8,-5.04,1,0.0436,0.386,0.578,0.103,0.957,115.982,4
6w8MmhrGJsOqO3h5he32UX,"You Look Like an Angel","Come Back to Me","Stefano Ritteri,Pino Presti",2020-04-10,379909,5,seankmchenry,2024-06-16T15:19:46Z,"italian jazz","Spaziale Recordings",0.74,0.504,0,-7.724,1,0.0561,0.315,0.0837,0.0653,0.711,95.999,4
2PdfhENwdLy23uUmtuAMic,"Stormy","Come Back to Me","Stefano Ritteri,Pino Presti",2020-04-10,274699,11,seankmchenry,2024-06-16T15:19:46Z,"italian jazz","Spaziale Recordings",0.75,0.711,4,-7.178,0,0.0267,0.257,0.647,0.0874,0.889,112.022,4
3Z2xBGul0ipLSm9UEAhOCa,"Love On the Line","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,381380,28,seankmchenry,2024-06-16T15:22:28Z,"neapolitan funk","Early Sounds Recordings",0.776,0.613,2,-12.308,0,0.0684,0.249,0.217,0.107,0.793,112.001,4
7m4k1NueHwEpgHwy9zjQSU,"Arcadian Dream","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,342420,6,seankmchenry,2024-06-16T15:22:28Z,"neapolitan funk","Early Sounds Recordings",0.186,0.161,11,-17.545,1,0.0385,0.977,0.859,0.337,0.0613,179.47,3
4p7HtFKoCYUlUhYdfC9JvZ,"New Life","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,353822,20,seankmchenry,2024-06-16T15:22:28Z,"neapolitan funk","Early Sounds Recordings",0.626,0.551,2,-11.35,0,0.0385,0.537,0.782,0.102,0.871,170.008,4
2PovXf6vE4blN6IpeBMQNc,"A Palm In The Closet","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,300150,20,seankmchenry,2024-06-16T15:22:28Z,"neapolitan funk","Early Sounds Recordings",0.744,0.61,0,-11.544,1,0.0463,0.249,0.0349,0.0965,0.903,107.022,4
5cvDq5AFH63PXpnLrsz6z5,"Trouble In Paradise","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,193483,8,seankmchenry,2024-06-16T15:22:28Z,"neapolitan funk","Early Sounds Recordings",0.365,0.174,9,-15.527,0,0.0282,0.927,0.87,0.0561,0.0968,80.534,4
4q2AAXg7R4U9IGaTv4xwmt,"Too Much - Vocal","Too Much","Byron",2017-10-18,270192,13,seankmchenry,2024-06-16T15:24:09Z,"","Best Record Italy [Powered by Planet Distribution]",0.638,0.684,0,-10.791,1,0.0576,0.0344,0.0193,0.615,0.947,99.851,4
0rAkBaz4dp7tKwZ8hqpyV0,"Too Much - Instrumental","Too Much","Byron",2017-10-18,254592,3,seankmchenry,2024-06-16T15:24:09Z,"","Best Record Italy [Powered by Planet Distribution]",0.613,0.72,9,-11.119,0,0.047,0.0362,0.181,0.276,0.964,99.773,4
04snC6omdjKD6hoyPa7gwo,"Too Much - Remix","Too Much","Byron",2017-10-18,252290,1,seankmchenry,2024-06-16T15:24:09Z,"","Best Record Italy [Powered by Planet Distribution]",0.561,0.749,0,-11.076,1,0.0558,0.00973,0.0602,0.396,0.703,99.97,4
2boRfspDMS8D2e44lw6VTl,"T.V. Scene - Sensurround Mix","T.V. Scene (Sensurround Mix)","Linda Di Franco",2019-07-05,438408,23,seankmchenry,2024-06-16T15:24:31Z,"","Warner Music Group - X5 Music Group",0.725,0.375,0,-17.581,0,0.0679,0.271,0.78,0.0372,0.966,95.531,4
7jBqgmJj3XcyPq9OuL3bIB,"My Boss - Extended Remix","T.V. Scene (Sensurround Mix)","Linda Di Franco",2019-07-05,346875,21,seankmchenry,2024-06-16T15:24:31Z,"","Warner Music Group - X5 Music Group",0.801,0.516,9,-15.551,0,0.0336,0.28,0.0534,0.357,0.909,114.795,4
3ZBW7qNHXHAytnJkuGAMGR,"Do It Again","Do It Again","Asso",2016-11-16,370950,16,seankmchenry,2024-06-16T15:25:00Z,"","ACE Records / Best Record Italy [Powered by Planet Distribution]",0.663,0.642,0,-10,0,0.046,0.0159,0.573,0.257,0.965,124.188,4
4vW2qpYw1lBQs7I82jinhm,"Don't Stop","Do It Again","Asso",2016-11-16,356879,18,seankmchenry,2024-06-16T15:25:00Z,"","ACE Records / Best Record Italy [Powered by Planet Distribution]",0.707,0.577,7,-11.982,1,0.0996,0.0751,0.886,0.0944,0.404,111.753,4
6sL8cK01Fzb1ryfg9Ty9lT,"Jurakan","Jurakan","Mystic Jungle",2019-07-20,417435,17,seankmchenry,2024-06-16T15:29:24Z,"neapolitan funk","Periodica Records",0.807,0.488,9,-13.168,1,0.0753,0.00348,0.778,0.139,0.804,117.004,4
7B4rUjk9slAlnAY4wDUEfx,"Tropics Of Capricorn","Jurakan","Mystic Jungle",2019-07-20,297196,9,seankmchenry,2024-06-16T15:29:24Z,"neapolitan funk","Periodica Records",0.91,0.383,0,-9.875,1,0.0453,0.00322,0.815,0.0529,0.916,107.011,4
33f6WhPY7FQ4P75wZtXvGU,"Metatemplum","Jurakan","Mystic Jungle",2019-07-20,505252,3,seankmchenry,2024-06-16T15:29:24Z,"neapolitan funk","Periodica Records",0.787,0.622,6,-11.684,1,0.0689,0.000126,0.86,0.0535,0.309,105.003,4
71IvkA2Zi8Lbil859g9bjA,"Parisienne","Jurakan","Mystic Jungle",2019-07-20,272857,32,seankmchenry,2024-06-16T15:29:24Z,"neapolitan funk","Periodica Records",0.7,0.657,10,-12.111,1,0.0923,0.177,0.88,0.0634,0.965,167.93,4
4EjzZPy2wXaRVIhU5ytysS,"Deep Down In Zanzibar","Afrodesia – Episode One","Afrodesia,Mystic Jungle,Whodamanny",2019-07-20,404000,28,seankmchenry,2024-06-16T15:29:26Z,"neapolitan funk","Periodica Records",0.864,0.59,10,-7.743,0,0.0804,0.122,0.267,0.317,0.968,100.011,4
2NP0OZW7kPA3RLbibVTnpW,"Desert Storm","Afrodesia – Episode One","Afrodesia,Mystic Jungle,Whodamanny",2019-07-20,396373,15,seankmchenry,2024-06-16T15:29:26Z,"neapolitan funk","Periodica Records",0.796,0.591,0,-7.289,1,0.0735,0.0599,0.862,0.367,0.555,94.991,4
3rJHHgbYJwAP11vQBmpSNT,"Meet In Tunis","Afrodesia – Episode One","Afrodesia,Mystic Jungle,Whodamanny",2019-07-20,330345,31,seankmchenry,2024-06-16T15:29:26Z,"neapolitan funk","Periodica Records",0.848,0.584,2,-7.322,0,0.0615,0.395,0.662,0.064,0.954,110.456,4
2bazbSDI3Vv9hrDjEG7u6h,"Orion Beat","Afrodesia – Episode One","Afrodesia,Mystic Jungle,Whodamanny",2019-07-20,377158,11,seankmchenry,2024-06-16T15:29:26Z,"neapolitan funk","Periodica Records",0.863,0.717,8,-6.706,0,0.0713,0.0112,0.821,0.0465,0.883,115.506,4
5Z03zli1WkLdm8ugrx2aZo,"Good Feelings - Vocal","Good Feelings","A.C. Band,Mystic Jungle,Whodamanny,Milord",2020-07-20,230475,37,seankmchenry,2024-06-16T15:29:49Z,"neapolitan funk","Periodica Records",0.824,0.461,3,-11.012,0,0.0562,0.0307,0.772,0.0933,0.92,112.014,4
0sQEM4QhbOjvUtU1dPNJIN,"Good Feelings - Instrumental","Good Feelings","A.C. Band,Mystic Jungle,Whodamanny,Milord",2020-07-20,230825,33,seankmchenry,2024-06-16T15:29:49Z,"neapolitan funk","Periodica Records",0.793,0.465,10,-10.908,0,0.0563,0.0123,0.802,0.0962,0.934,111.998,4
0mkfHdILMRM6Os0QaCBUp1,"Future Talk","The Dance Sucker","Whodamanny",2019-07-20,310500,11,seankmchenry,2024-06-16T15:30:15Z,"neapolitan funk","Periodica Records",0.845,0.717,6,-12.727,1,0.081,0.0402,0.35,0.0655,0.966,116.025,4
11Fl1NYJ8zSNPNHxipvcQ4,"Dance To The Bone","The Dance Sucker","Whodamanny",2019-07-20,285500,28,seankmchenry,2024-06-16T15:30:15Z,"neapolitan funk","Periodica Records",0.808,0.512,4,-10.771,0,0.0724,0.0327,0.835,0.0372,0.671,105.054,4
081Uhv1uAxBfVX2h6USLH7,"Troublemaker - West Hill Vocal","The Dance Sucker","Whodamanny",2019-07-20,297000,2,seankmchenry,2024-06-16T15:30:15Z,"neapolitan funk","Periodica Records",0.858,0.442,0,-12.569,1,0.0719,0.00139,0.463,0.0621,0.926,112.075,4
7D6yvkPE8L44C0Qt66X1hL,"Troublemaker - West Hill Dub","The Dance Sucker","Whodamanny",2019-07-20,297750,1,seankmchenry,2024-06-16T15:30:15Z,"neapolitan funk","Periodica Records",0.863,0.511,0,-12.861,1,0.0863,0.00215,0.761,0.063,0.84,112.022,4
41JsNduRhAuFLEU7gy9ckf,"Che sera","Che sera","I Coccodrilli,Whodamanny,Milord",2022-07-15,251428,37,seankmchenry,2024-06-16T15:30:55Z,"neapolitan funk","Futuribile",0.773,0.59,3,-12.833,0,0.0442,0.39,0.00000901,0.0847,0.957,107.608,4
6yOSX613mf0t3b6kTiYSIO,"Sabato Italiano","Sabato italiano","I Coccodrilli,Whodamanny,Milord",2021-08-06,273240,41,seankmchenry,2024-06-16T15:30:57Z,"neapolitan funk","Futuribile",0.737,0.478,8,-10.435,0,0.0289,0.0113,0.00728,0.0591,0.895,103.85,4
