Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4SFm53MSwGyKWbzCNmWgAC,"7vCQ7NQVgCumcAWj8aaVow,33PuaySauEdkTeCaa3bOB1","Napoliterranea - ‎‎‏‏‎Original Mix","Morphé","Pellegrino,Zodyaco",2020-10-19,259200,24,spotify:user:seankmchenry,2022-11-19T14:12:48Z,"neapolitan funk",0.583,0.813,7,-10.604,1,0.0779,0.503,0.814,0.109,0.884,200.004,4
3NYm3ZimuJNb0Z0px5OEwO,"77J3V0V7sEOf5ifCDBSNaJ,7dSwsPGp84lyzlAvuqQhLt","Marechià","Bar Mediterraneo","Nu Genea,Célia Kameni",2022-05-13,264296,55,spotify:user:seankmchenry,2022-11-19T14:13:57Z,"indie napoletano,neapolitan funk",0.719,0.832,1,-7.412,0,0.0366,0.124,0.0726,0.0697,0.961,110.077,4
7dQPNBS0fGU2AM4btLYDkL,"7vCQ7NQVgCumcAWj8aaVow","Ad Libitum","Periplo","Pellegrino",2016-06-16,325198,13,spotify:user:seankmchenry,2022-11-19T14:14:40Z,"neapolitan funk",0.783,0.84,11,-8.173,0,0.039,0.05,0.855,0.0387,0.745,127.347,4
5CKAk4APsUTObUofzQBkyy,"7vCQ7NQVgCumcAWj8aaVow","Zodyaco","Zodyaco","Pellegrino",2018-10-15,301090,22,spotify:user:seankmchenry,2022-11-19T14:14:47Z,"neapolitan funk",0.783,0.68,0,-10.515,1,0.0415,0.655,0.75,0.0993,0.775,110.025,4
77OpIQ1qOQW8SBAuc8ua2B,"7mMRRncwUBxnuIiOeljOdv","Acqua di sale","Acqua di sale","Rosa",2020-07-20,264869,26,spotify:user:seankmchenry,2022-11-19T14:15:38Z,"neapolitan funk",0.917,0.322,3,-15.151,0,0.119,0.00244,0.0407,0.0682,0.744,100.01,4
7hAfVA2V40NSmWErJNV5QY,"17hMpU2NVCxyyvui1Ze3Gh","The Sound Of Revolution","The Sounds Of Revolution EP","Giovanni Damico",2019-03-18,337803,18,spotify:user:seankmchenry,2022-11-19T14:18:40Z,"",0.797,0.723,7,-10.264,1,0.0757,0.00443,0.311,0.114,0.893,119.992,4
475ufgy9NOCEoiTaqe1gFr,"17hMpU2NVCxyyvui1Ze3Gh","Fall In The Groove","Fall In The Groove","Giovanni Damico",2020-10-06,343400,12,spotify:user:seankmchenry,2022-11-19T14:18:47Z,"",0.773,0.808,9,-7.947,0,0.066,0.045,0.535,0.055,0.967,117.991,4
0vOSUXD0HooDmX1lZdc4xL,"3bcYSJSQYuSKp5LoYD4VkM","Luna Lù","Napoli Segreta Vol.2","Antonio Sorrentino",2020-02-21,273577,31,spotify:user:seankmchenry,2022-11-19T14:19:18Z,"canzone napoletana,neapolitan funk",0.626,0.721,0,-9.034,1,0.0412,0.174,0.0000167,0.356,0.487,111.506,4
0C9rBeWAsPhmBeaYKZLN5m,"7sCYC6bDTexE400qiLy4oq","Figli Delle Stelle","Figli Delle Stelle (2005 - Remaster)","Alan Sorrenti",1977,275480,57,spotify:user:seankmchenry,2022-11-19T15:26:16Z,"classic italian pop,italian adult pop",0.677,0.778,0,-10.157,1,0.0668,0.526,0.0000154,0.206,0.73,108.471,4
5KyOUdnppL8CaEZrPA8xxB,"0h3E1GEycmeNQ5USViniCF","Blue Marlin Club","Night Of Cheetah","Mystic Jungle",2018-07-20,212333,36,spotify:user:seankmchenry,2022-11-19T15:26:58Z,"neapolitan funk",0.757,0.536,4,-11.302,0,0.0681,0.109,0.815,0.0834,0.451,92.055,4
