Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7GdKqVntwtcqPP3OjmwBSq,"5FLbE1s9bnHwJhmngtVXpD,1tcgfoMTT1szjUeaikxRjA,0lgoNUOOrMcH9o54tzYVJX","MILKY WAY (with RYUICHI SAKAMOTO & YUKALICIOUS)","FLASH","TOWA TEI,Ryuichi Sakamoto,YUKALICIOUS",2005-04-02,218813,11,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.723,0.597,7,-6.266,1,0.0343,0.0343,0.102,0.0333,0.419,97.99,4
4EMg88iiUnM9v6mfFV7Px1,"5FLbE1s9bnHwJhmngtVXpD,4RVnAU35WRWra6OZ3CbbMA","SOMETIME SAMURAI","FLASH","TOWA TEI,Kylie Minogue",2005-04-02,238920,12,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei,australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop",0.591,0.856,2,-6.225,0,0.0429,0.00317,0.108,0.0468,0.662,117.989,4
5VejClV8w1sSkvFVYUMHwj,"5FLbE1s9bnHwJhmngtVXpD","DIFFERENT NU NU","FLASH","TOWA TEI",2005-04-02,344293,5,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.788,0.645,5,-8.134,1,0.0639,0.000148,0.857,0.0742,0.576,129.03,4
1EjO8thPyH3WYBcRNsHOzw,"5FLbE1s9bnHwJhmngtVXpD,3EoFVszwsvsw0Cr7b4ncaD","MELODY","FLASH","TOWA TEI,Byron Stingily",2005-04-02,373586,4,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei,classic house,deep house,disco house,garage house,hip house,soulful house,vocal house",0.694,0.922,7,-5.429,0,0.0413,0.0505,0.019,0.092,0.834,128.005,4
5ZN9GTwPdTMMHd8UghWHmB,"5FLbE1s9bnHwJhmngtVXpD,32qx9z8Cx4j7NbKcF73bvn","RISK SOME SOUL","FLASH","TOWA TEI,LUOMO",2005-04-02,273013,10,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.791,0.528,0,-6.98,1,0.0507,0.00544,0.207,0.0624,0.751,123.057,4
4spvXZJ2gFoSkSaoBfZUQd,"5FLbE1s9bnHwJhmngtVXpD,2914JagOufmP5BY9qLDxtF","BIANCO","FLASH","TOWA TEI,Arto Lindsay",2005-04-02,236946,8,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei,no wave",0.634,0.418,0,-7.422,1,0.0576,0.132,0.492,0.104,0.7,165.99,4
6CNrKPnwCCpN6jiIW7ff1v,"5FLbE1s9bnHwJhmngtVXpD","RED CARP JUMBO","FLASH","TOWA TEI",2005-04-02,44733,2,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.577,0.646,1,-8.621,1,0.279,0.00683,0.951,0.0662,0.865,181.983,4
1VSAINtpOOeXC6O3HUW7Gc,"5FLbE1s9bnHwJhmngtVXpD,0rWeFo0CDvQ510XZ503kx2","CONGO","FLASH","TOWA TEI,ATOM",2005-04-02,221293,2,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.842,0.588,9,-8.081,1,0.197,0.0452,0.0426,0.203,0.596,102.007,4
1etVH4c7GgxfOb7lsQ144F,"5FLbE1s9bnHwJhmngtVXpD","HUNTER GREEN","FLASH","TOWA TEI",2005-04-02,191720,9,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.621,0.79,11,-7.829,0,0.0417,0.0112,0.779,0.135,0.918,132.01,4
72t730BaABBBJGJfgzKBfO,"5FLbE1s9bnHwJhmngtVXpD,1pTS8scL82IuWahFHRWSZ4,66UBlnqgUCqDlalQXK8Nby","MY SHARONA","FLASH","TOWA TEI,Tycoon Tosh,Buffalo Daughter",2005-04-02,285746,4,spotify:user:seankmchenry,2022-07-02T16:17:49Z,"japanese jazztronica,shibuya-kei",0.668,0.729,0,-6.134,1,0.0449,0.0000642,0.133,0.132,0.953,155.99,4
