Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
09d5r9fuTXykduWVxg4grp,"2Dex4M7LVFtXTpKSFbcglF","Take Me to the Top","RFG 16 (80's Funk Music Rare Tracks)","Advance",2012-08-13,376946,0,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"",0.868,0.64,0,-6.513,0,0.0731,0.317,0.0583,0.0641,0.894,112.265,4
6ODAghAlMTyu9fWa2CNKmf,"7v4FV3DzSUOvaZyMwTxKIG","I Want To Thank You","Back To Back","Alicia Myers",1998-01-01,229626,56,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"funk,post-disco,quiet storm,urban contemporary",0.782,0.433,11,-12.571,0,0.0615,0.0311,0.00244,0.111,0.757,111.705,4
1zaigPe4NB94tc4CRshK46,"7nwUJBm0HE4ZxD3f5cy5ok","Get It Right","Get It Right","Aretha Franklin",1983,377093,46,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"classic soul,jazz blues,memphis soul,soul,southern soul",0.758,0.829,1,-6.622,1,0.174,0.0486,0.0000016,0.0317,0.824,122.298,4
1wGqSAH3JAMNoxL72pOWO3,"7nwUJBm0HE4ZxD3f5cy5ok","Jump To It - Original Extended Version","Jump To It","Aretha Franklin",1982,401266,31,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"classic soul,jazz blues,memphis soul,soul,southern soul",0.823,0.611,8,-8.899,0,0.136,0.127,0.00000408,0.206,0.872,119.569,4
4jTXmhMv91Fq0ivNQDzhPh,"6XS2GPyMwHEgAn0VspnhMf","Space Talk","The Devil is Loose","Asha Puthli",1976-01-01,337320,39,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"indian jazz",0.638,0.432,10,-17.345,0,0.0754,0.142,0.019,0.213,0.693,98.932,4
6uSYARvM2fGV6yltGzCJVp,"0daNFtsGDQpGNgj9ZbH5Lb","Riccochet","Six Million Times / Genie (Special Expanded Edition)","The B. B. & Q. Band",2013-01-18,252386,0,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"post-disco,post-disco soul",0.799,0.778,1,-8.009,1,0.0692,0.00719,0.00124,0.034,0.961,115.818,4
5JGRginesu33Cf815MhHeO,"5PmZd7YOaUgQwhOja44fmZ","Another Man","G.I. Disco compiled and mixed by Kalle Kuts and Daniel W. Best","Barbara Mason",1984,412564,0,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"classic soul,funk,philly soul,quiet storm,souldies",0.821,0.763,2,-5.761,1,0.0737,0.00578,0.0000635,0.107,0.801,111.967,4
5XpOmL3h054JkaOWiZWYpA,"4RREsGLwQNfpiQQ6cID4KR","On a Crowded Street (Remix)","The Best of Record Shack Records","Barbara Pennington",2013-09-08,367866,0,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"hi-nrg",0.728,0.748,10,-12.182,1,0.147,0.21,0,0.0935,0.778,106.231,4
0qHdKIXSB75MNYas4tYScV,"5IDs1CK15HegSAhGEbSYXo","Stay the Night - 12 Version","Nights (Feel Like Getting Down) [Expanded Edition]","Billy Ocean",1981,387240,21,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock",0.753,0.768,6,-6.606,0,0.0318,0.0397,0.163,0.0936,0.962,115.989,4
4gZfY1TCkT8hEEud3je3fV,"06tPmk0aHzCFK0T96YzXnN","Digging Your Scene","Animal Magic","The Blow Monkeys",1986-05-20,254493,32,spotify:user:seankmchenry,2022-08-21T01:44:39Z,"new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.567,0.791,9,-11.145,1,0.0502,0.117,0.0013,0.062,0.651,102.967,4
