Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Xg0j1BNOWYmodrjhG1Qd4,"Hungboo (DJ-Kicks) - Mixed","DJ-Kicks (Peggy Gou) [DJ Mix]","Peggy Gou",2019-06-28,257355,25,aucf8tdp078rmin4qy2kn1jio,2024-06-27T13:59:52Z,"electra,float house","!K7 Records",0.785,0.821,5,-7.551,0,0.0648,0.568,0.286,0.0865,0.769,96.701,4
67pvmAeTA0YLmPcD4UKVso,"Gotas","Triángulos De Luz Y Espacios De Sombra","Vistas Fijas",2024-04-05,304272,2,aucf8tdp078rmin4qy2kn1jio,2024-05-20T02:42:56Z,"","Smiling C",0.695,0.378,1,-15.227,1,0.0523,0.777,0.85,0.11,0.301,110.862,4
2KMWfuzf6F9zhwRzrXAeqL,"Del Sol - Space Ghost Remix","The Del Sol - EP","Manuel Darquart",2023-12-08,301201,8,aucf8tdp078rmin4qy2kn1jio,2023-12-16T14:25:19Z,"nz electronic","Wolf Music Recordings",0.638,0.912,6,-6.779,1,0.0458,0.00427,0.665,0.336,0.374,123.011,4
3AxbU05sRoKsazqsQkZwba,"Inna Mind","3K Thank You","Stacktrace",2021-10-22,351853,1,aucf8tdp078rmin4qy2kn1jio,2023-01-18T12:43:02Z,"uk bass","Egregore Collective",0.664,0.671,4,-6.527,0,0.0582,0.254,0.739,0.0862,0.0383,180.04,4
0wVnnyUGR2YfsaQ06JJzhW,"Lull Your Skull","There Is Nothing","Ozric Tentacles",2000,181520,2,aucf8tdp078rmin4qy2kn1jio,2023-12-24T04:22:18Z,"deep space rock,instrumental rock,space rock","Madfish",0.465,0.481,0,-18.543,1,0.0374,0.845,0.898,0.345,0.703,176.003,4
4MGEu377LTrh9FRhHF6XML,"2000 Studio","Kids World","Sorcerer",2021-06-10,292714,2,aucf8tdp078rmin4qy2kn1jio,2022-04-23T03:39:11Z,"","Growing Bin Records",0.82,0.496,5,-10.968,1,0.066,0.0894,0.87,0.113,0.483,104.985,4
6koczscV9cuiTxk0N7VFpL,"Rainforest","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,487755,3,aucf8tdp078rmin4qy2kn1jio,2023-07-17T00:36:02Z,"","Coastal Haze",0.725,0.853,7,-8.443,0,0.321,0.787,0.0776,0.353,0.82,111.975,4
2iENR9xEmqf2ZRQCDPJkvB,"Here Comes Love, Tenderness and Kindness","The Sky's Not Blue It's Happy","The Cigarettes",2020-09-08,178040,3,aucf8tdp078rmin4qy2kn1jio,2024-01-06T16:00:35Z,"mod revival","Anthology Recordings",0.795,0.37,4,-10.187,1,0.0385,0.115,0.872,0.315,0.962,182.677,4
6NocG6haIoR7eQ55SW0zu2,"Twins","Landing","Ly Sander",2023-12-08,232803,0,aucf8tdp078rmin4qy2kn1jio,2023-12-16T14:21:52Z,"","Special place",0.546,0.499,3,-10.92,0,0.0368,0.682,0.865,0.257,0.616,91.018,5
7APTLSxVbRWKtznHmGqzbX,"African Sunset","The Sound Of Love International #002 - Beautiful Swimmers","Plunky",2019-05-17,251111,0,aucf8tdp078rmin4qy2kn1jio,2023-12-24T04:39:05Z,"","Love International Recordings",0.309,0.665,8,-9.053,0,0.0731,0.698,0.657,0.09,0.371,100.906,4
