Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0cXw9NFf83crqj2j9iE6k0,"6m677bkJTyCYHZZa6h8PR5","Bullfunk","The Other Side of the Story","Brandon Fields",1988-06-02,345666,6,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.768,0.528,2,-12.512,0,0.0389,0.0398,0.283,0.0519,0.809,102.361,4
5QR56UWy1NualXfRCq4d32,"6m677bkJTyCYHZZa6h8PR5","St. Albans","The Other Side of the Story","Brandon Fields",1988-06-02,280026,2,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.673,0.41,2,-15.118,1,0.0395,0.528,0.00258,0.038,0.479,100.148,4
2Y9x7E0EfakhORlEPl5V4l,"6m677bkJTyCYHZZa6h8PR5","Because of You","The Other Side of the Story","Brandon Fields",1988-06-02,323973,2,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.476,0.273,9,-13.601,0,0.0304,0.577,0.00205,0.0584,0.224,73.923,4
2rwNGDCPdgVnjGxFNPrWU0,"6m677bkJTyCYHZZa6h8PR5","Sunday Morning","The Other Side of the Story","Brandon Fields",1988-06-02,274466,1,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.429,0.355,1,-13.375,1,0.0454,0.494,0.0121,0.122,0.411,124.283,4
1bQmJQOfET3w6yHvA3IutD,"6m677bkJTyCYHZZa6h8PR5","Aggressive Tranquility","The Other Side of the Story","Brandon Fields",1988-06-02,257733,1,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.605,0.454,0,-17.038,1,0.042,0.204,0.482,0.0982,0.505,136.265,4
0lokTR5M5u3POirQcfNdqZ,"6m677bkJTyCYHZZa6h8PR5","Room 100","The Other Side of the Story","Brandon Fields",1988-06-02,360000,0,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.492,0.673,5,-11.247,0,0.07,0.0344,0.691,0.235,0.492,148.244,4
3SZy07AD5QAeWMd783VJWg,"6m677bkJTyCYHZZa6h8PR5","A Summer Mirage","The Other Side of the Story","Brandon Fields",1988-06-02,367826,0,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.425,0.107,7,-20.86,1,0.0373,0.673,0.428,0.0889,0.123,133.573,4
2Fj66qcvLjpnIzy36rTJSO,"6m677bkJTyCYHZZa6h8PR5","The Brain Dance","The Other Side of the Story","Brandon Fields",1988-06-02,306906,1,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.506,0.554,2,-13.777,1,0.038,0.139,0.616,0.336,0.584,125.353,4
281WUvdqaxHOOYRQNdMrZS,"6m677bkJTyCYHZZa6h8PR5","The Other Side of the Story","The Other Side of the Story","Brandon Fields",1988-06-02,314826,0,spotify:user:seankmchenry,2022-03-28T13:44:48Z,"jazz saxophone",0.429,0.421,4,-16.5,0,0.0565,0.337,0.0813,0.0544,0.127,133.912,4
4DJ3d3iVvWbL4rcnQzXoal,"0TknnwW9imlXjnjxfHcvFd","The Straight and Narrow","The Getaway","Dan Siegel",1993-04-30,291333,1,spotify:user:seankmchenry,2022-03-28T13:44:52Z,"smooth jazz",0.624,0.483,10,-14.165,0,0.0335,0.212,0.87,0.0973,0.844,146.588,4
