Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
39ekxK6UZ0LCRrygZpgUtx,"23TIk45a0EumQgVir5CgS7","Modaji","Elegant Evening","Alexander Zonjic",1988-01-01,486573,2,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"deep smooth jazz,jazz flute,smooth jazz",0.546,0.368,4,-16.44,0,0.0717,0.677,0.116,0.0632,0.74,92.444,4
0dJeVAevdgkItt6jz6PwQb,"23TIk45a0EumQgVir5CgS7","Song for Kinyatta","Romance With You","Alexander Zonjic",1989-04-12,318626,0,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"deep smooth jazz,jazz flute,smooth jazz",0.805,0.59,5,-15.761,0,0.044,0.161,0.782,0.0719,0.909,124.924,4
5upxN1EgFRQq5YZ8chMP4q,"23TIk45a0EumQgVir5CgS7","Romance with You","Romance With You","Alexander Zonjic",1989-04-12,408226,0,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"deep smooth jazz,jazz flute,smooth jazz",0.58,0.162,7,-26.034,1,0.0407,0.939,0.894,0.0787,0.548,80.818,4
62NSMRmQFPmHwW0TlV3JmW,"5oQLP9K23E63u9BHB1b4LT","Caged Lion Escapes","Quiet Fire","Ancient Future",1986-01-01,334066,2,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"world fusion",0.546,0.221,4,-18.946,1,0.0307,0.789,0.153,0.152,0.558,104.864,4
0ooHBcvk3LHppF89xkjwWX,"5oQLP9K23E63u9BHB1b4LT","Quiet Fire","Quiet Fire","Ancient Future",1986-01-01,768893,3,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"world fusion",0.34,0.091,11,-23.906,0,0.038,0.662,0.521,0.103,0.276,171.613,3
0dvUaT7o2Nkhh0yyrcbmTI,"7MynOMOTsGz8NFcPUImWAp,3LfEGh0Nwxa7mJ79Q1kTkX,5hvDMqDnlZLm5opdeqgkE2,1eYM0EaoFHS1YhPdBNeN0j,0BJA103k5TtODCqNU9Aac5,3ArHMvXvhmgMF8SdPHSSSj","Moon Dance","Down to the Moon","Andreas Vollenweider,Walter Keiser,Pedro Haldemann,Jon Otis,Matthias Ziegler,Christoph Ziegler",1986-03-10,250360,33,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"harp,new age,classical flute",0.459,0.776,5,-8.043,0,0.0293,0.321,0.127,0.708,0.604,85.083,4
64iGkQy5fe5gKVTpIvPtOX,"7MynOMOTsGz8NFcPUImWAp,3LfEGh0Nwxa7mJ79Q1kTkX,5hvDMqDnlZLm5opdeqgkE2","Flight Feet and Root Hands","White Winds (Seeker's Journey)","Andreas Vollenweider,Walter Keiser,Pedro Haldemann",1984-09-17,217933,45,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"harp,new age",0.568,0.417,8,-9.577,1,0.0311,0.64,0.509,0.103,0.623,151.567,4
4rG9ZA4HjZ9yn2SvVgaR7T,"4FVlx0LkBCw52txBL8QVDl","Like Sonny","The Cat And The Hat","Ben Sidran",2006-01-01,283533,3,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"",0.438,0.336,2,-15.219,0,0.042,0.0271,0.241,0.083,0.381,119.004,4
01FhInu6C2oAM35EAJpuzn,"0IwfuIL3gUJxjzUqY3wJ3j","This One's For Armando","Picture This","Billy Cobham",1987-01-01,511626,3,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz drums,jazz funk,jazz fusion",0.651,0.447,2,-17.234,0,0.0415,0.176,0.859,0.0815,0.822,110.56,4
1Ka7YYdKhr3YJNoQ3I7qag,"0IwfuIL3gUJxjzUqY3wJ3j","The Juggler","Picture This","Billy Cobham",1987-01-01,299360,7,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz drums,jazz funk,jazz fusion",0.665,0.421,10,-14.691,0,0.0315,0.0261,0.675,0.0517,0.906,99.885,4
1LY4Db4VpH4hpA2hqpGUF7,"0IwfuIL3gUJxjzUqY3wJ3j","Times Of My Life","Power Play","Billy Cobham",1986-01-01,319480,7,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz drums,jazz funk,jazz fusion",0.639,0.545,2,-13.588,0,0.0346,0.261,0.835,0.168,0.6,110.198,4
62QZkKxBUQwdVfwsBmrxUL,"0IwfuIL3gUJxjzUqY3wJ3j","Zanzibar Breeze","Power Play","Billy Cobham",1986-01-01,293000,8,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz drums,jazz funk,jazz fusion",0.759,0.447,1,-13.666,1,0.0791,0.00721,0.84,0.0519,0.728,142.902,4
4Q0z5a7ZRuDjuQR7o9kWFO,"3H67RMOaJ8Cn4GKw1amxOQ","Popcorn","Instrumental Gold, Volume 1 (Digitally Remastered)","Billy Mann",1977-10-04,154853,0,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"",0.504,0.535,6,-13.463,0,0.0484,0.866,0.794,0.0929,0.799,133.461,4
3mqHxtjHByfwefRu16Pmqq,"7yyIbpE3LaY4VDGEGM1ldl","Down for the Count","Birds of a Feather","Birds of a Feather",1987-03-01,218453,3,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"",0.754,0.678,0,-9.485,1,0.0422,0.382,0.197,0.116,0.711,129.621,4
6WOewgjnd1oYfunIxhsnz0,"6ryjbFyWBZho9KGXqKZdqQ","Ruby Ruby Ruby","12","Bob James",1984-03-01,292800,12,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz funk,jazz piano,smooth jazz",0.626,0.738,10,-11.488,1,0.054,0.148,0.447,0.0892,0.853,149.26,4
6NJJBVMy0QU3x47nh4WaYI,"6ryjbFyWBZho9KGXqKZdqQ,7vNcTk9TgKF0qDsS87nWGE","Moon Tune","Double Vision","Bob James,David Sanborn",1986-05-13,424533,29,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz funk,jazz piano,smooth jazz,jazz fusion,jazz saxophone,smooth saxophone",0.579,0.192,9,-20.051,0,0.0332,0.763,0.684,0.0805,0.302,116.919,4
0PoQa9UeIyGe8LNhJqqWxo,"6ryjbFyWBZho9KGXqKZdqQ,7vNcTk9TgKF0qDsS87nWGE","It's You","Double Vision","Bob James,David Sanborn",1986-05-13,314266,26,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz funk,jazz piano,smooth jazz,jazz fusion,jazz saxophone,smooth saxophone",0.725,0.376,8,-15.739,1,0.0308,0.314,0.685,0.0524,0.443,91.62,4
48ZRaKzkrKchgSPjpG9qli,"6ryjbFyWBZho9KGXqKZdqQ,7vNcTk9TgKF0qDsS87nWGE","You Don't Know Me","Double Vision","Bob James,David Sanborn",1986-05-13,336800,22,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz funk,jazz piano,smooth jazz,jazz fusion,jazz saxophone,smooth saxophone",0.27,0.18,0,-16.71,1,0.0338,0.371,0.00869,0.0969,0.0832,89.608,4
0cXw9NFf83crqj2j9iE6k0,"6m677bkJTyCYHZZa6h8PR5","Bullfunk","The Other Side of the Story","Brandon Fields",1988-06-02,345666,6,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz saxophone",0.768,0.528,2,-12.512,0,0.0389,0.0398,0.283,0.0519,0.809,102.361,4
5QR56UWy1NualXfRCq4d32,"6m677bkJTyCYHZZa6h8PR5","St. Albans","The Other Side of the Story","Brandon Fields",1988-06-02,280026,3,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz saxophone",0.673,0.41,2,-15.118,1,0.0395,0.528,0.00258,0.038,0.479,100.148,4
2Y9x7E0EfakhORlEPl5V4l,"6m677bkJTyCYHZZa6h8PR5","Because of You","The Other Side of the Story","Brandon Fields",1988-06-02,323973,1,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"jazz saxophone",0.476,0.273,9,-13.601,0,0.0304,0.577,0.00205,0.0584,0.224,73.923,4
1kXIM6PAZtnuxAZq35rpGD,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Night-Glo","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,402333,10,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.738,0.2,0,-17.822,1,0.0356,0.51,0.875,0.108,0.367,96.058,4
6qWxZ69hF5CQEialQnjbnT,"4Byg6TGm4z9TEkUDvEJBGO","Healing Power","Sextet","Carla Bley",1987-03-01,382066,17,spotify:user:seankmchenry,2022-03-29T15:59:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.518,0.368,6,-15.82,0,0.0324,0.426,0.631,0.167,0.676,80.836,4
