Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5anfj73jNONHKXCRFBfqxN,"1Be36RHAlqJpfUt3tsmUQD","Claire's Dream","Rites Of Summer","Spyro Gyra",1988-01-01,344533,16,spotify:user:seankmchenry,2021-09-02T14:40:27Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz",0.502,0.303,5,-18.101,1,0.0327,0.762,0.0262,0.0924,0.344,90.449,4
4bvhpIhmQYYSkj1B6p1kp5,"1Be36RHAlqJpfUt3tsmUQD","Shanghai Gumbo","Rites Of Summer","Spyro Gyra",1988-01-01,273200,12,spotify:user:seankmchenry,2021-09-02T14:40:27Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz",0.45,0.375,11,-16.451,1,0.0293,0.194,0.165,0.0609,0.664,97.789,4
6RNeRRVGPWJnTG4kDBmxjR,"1Be36RHAlqJpfUt3tsmUQD","Yosemite","Rites Of Summer","Spyro Gyra",1988-01-01,324600,15,spotify:user:seankmchenry,2021-09-02T14:40:27Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz",0.356,0.366,0,-15.533,1,0.0376,0.632,0.527,0.342,0.432,81.189,4
3wj7r2XaWmlo1hUX6DWHHY,"1Be36RHAlqJpfUt3tsmUQD","Captain Karma","Rites Of Summer","Spyro Gyra",1988-01-01,343400,12,spotify:user:seankmchenry,2021-09-02T14:39:47Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz",0.526,0.583,0,-14,1,0.0403,0.455,0.729,0.323,0.593,104.102,3
7gS2QpYppdQgLnnrNutl5S,"5J2I7yJ4l2CMzrh5yAO6Iu","Mambeaux Sambonesia","Cafe Tropique","Crystal Wind",1997-01-01,295306,0,spotify:user:seankmchenry,2021-09-02T14:40:33Z,"",0.659,0.293,8,-16.531,1,0.0399,0.326,0.868,0.0867,0.157,119.49,4
0v7CtTTRpEK14YlTt0uaGA,"5J2I7yJ4l2CMzrh5yAO6Iu","Adia","Cafe Tropique","Crystal Wind",1997-01-01,240093,0,spotify:user:seankmchenry,2021-09-02T14:40:33Z,"",0.371,0.444,7,-13.534,0,0.0418,0.143,0.937,0.281,0.524,142.935,4
5EyC753PepQXw6YEvnxTrF,"4uBSazM6snEc9wCG3jMlYt","Minuano (Six Eight)","Still Life (Talking)","Pat Metheny Group",1987,566426,41,spotify:user:seankmchenry,2021-09-02T14:40:54Z,"ecm-style jazz,jazz fusion",0.341,0.368,4,-13.505,0,0.0307,0.823,0.0471,0.0536,0.304,155.898,3
2O7heTmxheKOe1T0jNBPd1,"4uBSazM6snEc9wCG3jMlYt","Last Train Home","Still Life (Talking)","Pat Metheny Group",1987,338186,55,spotify:user:seankmchenry,2021-09-02T14:40:54Z,"ecm-style jazz,jazz fusion",0.406,0.489,10,-14.657,1,0.0297,0.678,0.922,0.0538,0.305,80.052,3
5hvewH7ukvLQvBrMoTqLTt,"4uBSazM6snEc9wCG3jMlYt","Every Summer Night","Letter From Home","Pat Metheny Group",1989,433400,33,spotify:user:seankmchenry,2021-09-02T14:41:54Z,"ecm-style jazz,jazz fusion",0.631,0.442,5,-9.458,1,0.0235,0.762,0.00117,0.0908,0.339,102.235,4
57YStrwhaaYSr12LA9kKOH,"4uBSazM6snEc9wCG3jMlYt","5-5-7","Letter From Home","Pat Metheny Group",1989,474693,34,spotify:user:seankmchenry,2021-09-02T14:41:54Z,"ecm-style jazz,jazz fusion",0.45,0.501,7,-12.654,0,0.0297,0.811,0.103,0.128,0.42,93.081,4
6K8EySFp9WNmqm1paTflzx,"4uBSazM6snEc9wCG3jMlYt","Slip Away","Letter From Home","Pat Metheny Group",1989,323840,37,spotify:user:seankmchenry,2021-09-02T14:41:54Z,"ecm-style jazz,jazz fusion",0.51,0.744,7,-9.024,0,0.0284,0.658,0.326,0.356,0.631,118.314,4
2PArpCErXNJ5VXvwmocyio,"6wy22BewtnpjMpQahRiO4b","Trance Dance","Mosaic","Mark Egan",1993,381493,2,spotify:user:seankmchenry,2021-09-03T15:30:06Z,"electric bass",0.477,0.218,0,-22.595,1,0.0389,0.417,0.003,0.0553,0.134,90.067,4
2L3OGHjbZbvoFy31JvxHnV,"6wy22BewtnpjMpQahRiO4b","Ocean Views","Mosaic","Mark Egan",1993,354000,3,spotify:user:seankmchenry,2021-09-02T14:42:08Z,"electric bass",0.771,0.303,4,-24.552,0,0.0325,0.768,0.87,0.0658,0.587,116.302,4
