Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6mo2Eu9PKboy2xMN4OF2jH,"Reflection No. 2 (A Treatise on Being)","The Rolling, Driftless North","Vansire",2017-01-26,151764,23,seankmchenry,2024-08-07T13:17:41Z,"bedroom pop,rochester mn indie","Vansire",0.109,0.219,1,-22.561,1,0.0533,0.939,0.875,0.364,0.0626,74.896,4
0jx2hPIzs7bNveWHU2Ohzu,"Eleven Weeks","The Rolling, Driftless North","Vansire",2017-01-26,185682,62,seankmchenry,2024-08-07T13:17:41Z,"bedroom pop,rochester mn indie","Vansire",0.302,0.411,8,-13.014,1,0.0362,0.892,0.831,0.135,0.186,183.233,4
0mSFkLYXtmxpchXWgKCUk0,"Pale Blue","The Rolling, Driftless North","Vansire",2017-01-26,158533,33,seankmchenry,2024-08-07T13:17:41Z,"bedroom pop,rochester mn indie","Vansire",0.392,0.603,3,-10.22,1,0.0356,0.879,0.852,0.103,0.49,148.844,4
7H9FTGagbVaOMnsCj9wOqo,"Driftless","The Rolling, Driftless North","Vansire",2017-01-26,202443,17,seankmchenry,2024-08-07T13:17:41Z,"bedroom pop,rochester mn indie","Vansire",0.43,0.477,10,-16.604,1,0.0392,0.924,0.921,0.0882,0.344,143.989,4
0PUwe7sBa5XKbSYC5PDjeP,"Four Portraits","The Rolling, Driftless North","Vansire",2017-01-26,265798,29,seankmchenry,2024-08-07T13:17:41Z,"bedroom pop,rochester mn indie","Vansire",0.232,0.591,7,-8.467,1,0.0414,0.289,0.922,0.355,0.233,89.758,4
2zDH5LwqBKPtWiHcNiY4J7,"Reflection Nos. 3 & 4","Angel Youth","Vansire",2018-04-26,141990,28,seankmchenry,2024-08-07T13:17:52Z,"bedroom pop,rochester mn indie","Vansire",0.212,0.506,2,-11.107,0,0.0417,0.76,0.888,0.104,0.0383,89.41,4
2Kjr3Th9NDGsMagpMqrk7k,"Synth Man","Angel Youth","Vansire",2018-04-26,163269,32,seankmchenry,2024-08-07T13:17:52Z,"bedroom pop,rochester mn indie","Vansire",0.439,0.659,7,-9.836,1,0.251,0.389,0.936,0.0984,0.379,86.027,4
7C5pKQBh9xr7kCsBT6Y2n8,"Halcyon Age","Angel Youth","Vansire",2018-04-26,193379,58,seankmchenry,2024-08-07T13:17:52Z,"bedroom pop,rochester mn indie","Vansire",0.627,0.486,11,-9.634,0,0.0307,0.338,0.143,0.188,0.686,93.055,4
1mfxGZH9mNpcJrRlxvKIGj,"Brown Study","Angel Youth","Vansire",2018-04-26,197865,40,seankmchenry,2024-08-07T13:17:52Z,"bedroom pop,rochester mn indie","Vansire",0.32,0.733,5,-7.924,0,0.0511,0.284,0.773,0.665,0.392,150.286,4
0OrxUBA5JghHjUarBa2Vjz,"Lonely Zone","Angel Youth","Vansire,Paul Cherry,Mellow Fellow,Ruru",2018-04-26,237798,47,seankmchenry,2024-08-07T13:17:52Z,"bedroom pop,rochester mn indie,indie garage rock","Vansire",0.538,0.408,9,-11.284,0,0.0322,0.526,0.315,0.0732,0.23,80.912,4
