Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5xoCvn9wwf7DijP5hR2eE7,"7gXUrN8vgmVhKVCkw9pavV","Zelao","In Person","Vince Guaraldi",1963,270493,29,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.661,0.583,0,-15.499,0,0.0342,0.464,0.871,0.186,0.914,94.812,4
7LjmOCCTbi0sIofmYzo9vK,"7gXUrN8vgmVhKVCkw9pavV","On Green Dolphin Street","In Person","Vince Guaraldi",1963,353600,45,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.406,0.131,10,-19.063,1,0.0298,0.834,0.0846,0.192,0.339,103.99,3
069PYwU0VlH2OhIm4LgEtK,"7gXUrN8vgmVhKVCkw9pavV","Misirlou","In Person","Vince Guaraldi",1963,269373,25,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.382,0.333,7,-15.748,1,0.0314,0.25,0.00858,0.125,0.322,97.623,4
0YjuL0DOD8TX7xtPuzgDzJ,"7gXUrN8vgmVhKVCkw9pavV","Forgive Me If I'm Late","In Person","Vince Guaraldi",1963,162333,29,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.681,0.471,5,-17.926,1,0.0355,0.331,0.957,0.105,0.959,102.601,4
5ZkGmaMIK5qCRlcpN050On,"7gXUrN8vgmVhKVCkw9pavV","Jitterbug Waltz","In Person","Vince Guaraldi",1963,335093,32,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.372,0.308,9,-16.692,0,0.0382,0.596,0.00375,0.301,0.445,68.198,4
42maAi4J5saZXz0qaHf7XT,"7gXUrN8vgmVhKVCkw9pavV","Outra Vez","In Person","Vince Guaraldi",1963,174466,33,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.593,0.462,9,-14.323,0,0.031,0.661,0.932,0.141,0.798,103.482,4
3OtBlZHbejABGZa8yljKLB,"7gXUrN8vgmVhKVCkw9pavV","Freeway","In Person","Vince Guaraldi",1963,225600,25,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.418,0.353,10,-15.481,0,0.0305,0.334,0.000525,0.336,0.419,63.134,4
0a97182Qifw2VU2sQRTQML,"7gXUrN8vgmVhKVCkw9pavV","The Love Of A Rose","In Person","Vince Guaraldi",1963,163266,26,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.645,0.613,8,-12.855,1,0.0289,0.699,0.377,0.0669,0.926,114.69,4
1MSHhgOwXXcdP2EoR6tEKW,"7gXUrN8vgmVhKVCkw9pavV","Chora Tua Tristeza","In Person","Vince Guaraldi",1963,228066,25,spotify:user:seankmchenry,2023-01-01T15:21:14Z,"adult standards,jazz piano,space age pop",0.609,0.523,7,-13.537,0,0.0312,0.682,0.943,0.12,0.944,104.643,4
2jtrBsIHtckavp7SZOJUfX,"7gXUrN8vgmVhKVCkw9pavV,3vVLhTD4Etza2AvvWJaNyW","Casaba","Vince & Bola","Vince Guaraldi,Bola Sete",2000-01-01,474733,26,spotify:user:seankmchenry,2023-01-01T15:22:41Z,"adult standards,jazz piano,space age pop,bossa nova,brazilian jazz",0.705,0.265,1,-17.879,1,0.0876,0.711,0.777,0.11,0.842,80.315,4
1dTjP6xfrbf4xjSZzuRNg0,"7gXUrN8vgmVhKVCkw9pavV,3vVLhTD4Etza2AvvWJaNyW","Mambossa","Vince & Bola","Vince Guaraldi,Bola Sete",2000-01-01,518706,20,spotify:user:seankmchenry,2023-01-01T15:22:41Z,"adult standards,jazz piano,space age pop,bossa nova,brazilian jazz",0.52,0.31,9,-17.148,0,0.0575,0.69,0.858,0.0805,0.616,157.131,4
0fx8lwHMrQA0v6JhmJTED8,"7gXUrN8vgmVhKVCkw9pavV,3vVLhTD4Etza2AvvWJaNyW","Star Song","Vince & Bola","Vince Guaraldi,Bola Sete",2000-01-01,286640,37,spotify:user:seankmchenry,2023-01-01T15:22:41Z,"adult standards,jazz piano,space age pop,bossa nova,brazilian jazz",0.613,0.193,7,-18.481,0,0.0884,0.741,0.834,0.0986,0.695,141.436,4
1tgax3EIWXnyF4p2z1EH8C,"7gXUrN8vgmVhKVCkw9pavV,3vVLhTD4Etza2AvvWJaNyW","Moon Rays","Vince & Bola","Vince Guaraldi,Bola Sete",2000-01-01,421266,17,spotify:user:seankmchenry,2023-01-01T15:22:41Z,"adult standards,jazz piano,space age pop,bossa nova,brazilian jazz",0.716,0.35,8,-15.443,1,0.0661,0.68,0.868,0.0903,0.628,154.617,4
