Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5OFEJMirg4NPz7G1zgXDYu,"68kEuyFKyqrdQQLLsmiatm","ARE YOU WITH THAT?","Vince Staples","Vince Staples",2021-07-09,138410,61,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.859,0.423,1,-10.698,0,0.283,0.543,0,0.104,0.563,125.89,4
4hWAIH8ZIjcA2cEhGjr7jc,"68kEuyFKyqrdQQLLsmiatm","LAW OF AVERAGES","Vince Staples","Vince Staples",2021-07-09,139050,49,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.544,0.446,4,-11.074,0,0.426,0.391,0,0.157,0.478,135.11,4
0zfsHae5pzUPpEuXjtEqbC,"68kEuyFKyqrdQQLLsmiatm","SUNDOWN TOWN","Vince Staples","Vince Staples",2021-07-09,150877,51,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.852,0.389,1,-13.112,1,0.0997,0.596,0.000401,0.112,0.584,139.953,4
4JvTUper6kKrGUuOPsdhI2,"68kEuyFKyqrdQQLLsmiatm","THE SHINING","Vince Staples","Vince Staples",2021-07-09,160000,45,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.845,0.392,10,-11.643,0,0.0638,0.0357,0.0021,0.134,0.266,132.054,4
1VnUHwES1tSaWlNHcHCIUt,"68kEuyFKyqrdQQLLsmiatm","TAKING TRIPS","Vince Staples","Vince Staples",2021-07-09,157226,45,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.798,0.535,1,-10.736,1,0.162,0.121,0.00218,0.142,0.713,137.001,4
4O6AQJEGESzDIIOq2AGbhO,"68kEuyFKyqrdQQLLsmiatm","THE APPLE & THE TREE","Vince Staples","Vince Staples",2021-07-09,68261,37,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.655,0.379,4,-15.045,0,0.505,0.937,0.0364,0.23,0.563,115.897,5
3RXGbZhy0Hyur2mSVDlu51,"68kEuyFKyqrdQQLLsmiatm,6trIghKwHRUyxwvm66HLHH","TAKE ME HOME","Vince Staples","Vince Staples,Fousheé",2021-07-09,166829,50,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop,alternative r&b,indie r&b",0.479,0.542,2,-8.55,1,0.37,0.469,0.00000569,0.368,0.316,79.701,4
0sYeIOwBjpkrfLmi1DTO0P,"68kEuyFKyqrdQQLLsmiatm","LIL FADE","Vince Staples","Vince Staples",2021-07-09,132270,46,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.641,0.401,1,-10.581,1,0.307,0.131,0.022,0.219,0.299,175.168,4
0qYRRbPKjMRXwQxdmBH4Q7,"68kEuyFKyqrdQQLLsmiatm","LAKEWOOD MALL","Vince Staples","Vince Staples",2021-07-09,77476,36,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.524,0.545,6,-16.757,1,0.124,0.975,0.211,0.274,0.537,86.033,4
2SBt41LTnZcKlcnknUgcvF,"68kEuyFKyqrdQQLLsmiatm","MHM","Vince Staples","Vince Staples",2021-07-09,131704,43,spotify:user:seankmchenry,2023-01-25T19:17:26Z,"conscious hip hop,hip hop,rap,underground hip hop",0.846,0.533,1,-9.246,1,0.191,0.103,0.02,0.0827,0.807,155.972,4
0RxSL5kjZXO45l38vVerNO,"68kEuyFKyqrdQQLLsmiatm","Crabs In A Bucket","Big Fish Theory","Vince Staples",2017-06-23,197800,39,spotify:user:seankmchenry,2023-01-25T19:17:23Z,"conscious hip hop,hip hop,rap,underground hip hop",0.675,0.729,11,-7.494,0,0.124,0.197,0.00378,0.0863,0.0789,130.98,4
6eL1ncVDtQHgSm3E288TS7,"68kEuyFKyqrdQQLLsmiatm","Big Fish","Big Fish Theory","Vince Staples",2017-06-23,198133,54,spotify:user:seankmchenry,2023-01-25T19:17:23Z,"conscious hip hop,hip hop,rap,underground hip hop",0.898,0.547,3,-5.707,0,0.313,0.484,0.0000104,0.37,0.763,100.01,4
1AdmqWMl7MCSRMKpwiH0yU,"68kEuyFKyqrdQQLLsmiatm","Alyssa Interlude","Big Fish Theory","Vince Staples",2017-06-23,158466,34,spotify:user:seankmchenry,2023-01-25T19:17:23Z,"conscious hip hop,hip hop,rap,underground hip hop",0.705,0.704,3,-11.597,1,0.243,0.508,0.0327,0.0567,0.555,158.057,4
