Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6W3BvsVD8mFAVFeACgYh7A,"Call Of The Islands","Call Of The Islands","Ìxtahuele",2016-11-11,208560,0,seankmchenry,2018-11-28T18:03:22Z,"exotica,lounge","Subliminal Sounds",0.649,0.482,5,-9.044,1,0.03,0.784,0.000352,0.133,0.583,102.851,4
6NIPq2YbQwQfcff9jECU6J,"Colors Of Hawaiki","Call Of The Islands","Ìxtahuele",2016-11-11,186640,0,seankmchenry,2018-11-28T18:03:22Z,"exotica,lounge","Subliminal Sounds",0.755,0.551,7,-6.191,0,0.0487,0.723,0.0012,0.206,0.707,135.681,4
4M34Ejtu6zCuOZQZCvNFDi,"Black Sand","Pagan Rites","Ìxtahuele",2013-05-24,249493,0,seankmchenry,2018-11-28T18:03:30Z,"exotica,lounge","Subliminal Sounds",0.602,0.372,7,-7.68,1,0.0354,0.458,0.00000368,0.0952,0.171,101.369,4
22dUflBwLQZ4UueKeAJdXy,"Orust Luau","Pagan Rites","Ìxtahuele",2013-05-24,291026,0,seankmchenry,2018-11-28T18:03:30Z,"exotica,lounge","Subliminal Sounds",0.477,0.391,5,-6.886,1,0.044,0.678,0.256,0.0934,0.304,85.377,4
3ZI49HJE66dhI3EvYHDqSz,"Quiet Village - Original Mono Version","Exotica","Martin Denny",1957-05-01,220240,25,seankmchenry,2018-11-28T18:04:08Z,"easy listening,exotica,lounge","Caroline Records",0.818,0.482,2,-8.915,0,0.0538,0.685,0.119,0.228,0.299,114.324,4
1DvtuBRmG0itk0i7moSRPE,"Return To Paradise - Original Mono Version","Exotica","Martin Denny",1957-05-01,141640,14,seankmchenry,2018-11-28T18:04:08Z,"easy listening,exotica,lounge","Caroline Records",0.463,0.33,10,-10.986,1,0.0275,0.541,0.000437,0.0842,0.185,78.175,4
4nUETy5sm1a2MkgCpQkQP0,"Jungle Flower - Original Mono Version","Exotica","Martin Denny",1957-05-01,108866,16,seankmchenry,2018-11-28T18:04:08Z,"easy listening,exotica,lounge","Caroline Records",0.31,0.25,0,-14.852,1,0.0502,0.156,0,0.0747,0.301,179.419,4
7Df9QTdxz1xWO8hEYLavKn,"Llama Serenade","Primitiva","Martin Denny",1958-10-01,134506,19,seankmchenry,2018-11-28T18:04:33Z,"easy listening,exotica,lounge","Capitol Records",0.543,0.525,4,-14.96,0,0.0522,0.789,0.864,0.084,0.354,165.862,4
6j46ude4neMZMiEagbYkie,"Chant Of The Moon","Voodoo!","Robert Drasnin",1996,153493,29,seankmchenry,2018-11-28T18:04:48Z,"exotica,lounge,space age pop","Dionysus Records / Bacchus Archives / Orange Sky / Hell Yeah",0.702,0.0967,10,-20.637,1,0.0581,0.308,0.794,0.124,0.353,117.6,4
3VGeD4d5il4rzVeLtmUhMx,"Orinoco","Voodoo!","Robert Drasnin",1996,139666,28,seankmchenry,2018-11-28T18:04:48Z,"exotica,lounge,space age pop","Dionysus Records / Bacchus Archives / Orange Sky / Hell Yeah",0.595,0.261,4,-21.404,0,0.033,0.743,0.975,0.0976,0.793,127.962,4
4RnOkSofv95IZMcuueEovA,"Enchantment","Voodoo!","Robert Drasnin",1996,165440,28,seankmchenry,2018-11-28T18:04:48Z,"exotica,lounge,space age pop","Dionysus Records / Bacchus Archives / Orange Sky / Hell Yeah",0.723,0.205,7,-21.63,1,0.0537,0.692,0.739,0.0921,0.868,121.523,4
3yMjIl0UdB068gC00OmAwP,"Appogiatura Exotica","Voodoo III","Robert Drasnin",2017-06-06,161866,3,seankmchenry,2018-11-28T18:05:10Z,"exotica,lounge,space age pop","Dionysus Records / Bacchus Archives / Orange Sky / Hell Yeah",0.642,0.448,5,-12.467,1,0.0333,0.279,0.802,0.111,0.554,120.427,4
3KOC0porpfAeFFYuA4d73z,"Yellow Bird","Yellow Bird","Arthur Lyman",1961,164920,0,seankmchenry,2018-11-28T18:06:09Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.561,0.0335,2,-29.467,1,0.0513,0.954,0.86,0.0949,0.703,119.319,4
3JfdX5DBjXvMdQd55Ipq4s,"Hilawe","Hawaiian Sunset","Arthur Lyman",1996,71266,0,seankmchenry,2018-11-28T18:06:09Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.58,0.114,2,-28.686,1,0.0463,0.874,0.926,0.109,0.922,135.09,4
2t5nydEEeYdsi2hR33TRjx,"Kawohikukapulani","Hawaiian Sunset","Arthur Lyman",1996,146733,0,seankmchenry,2018-11-28T18:06:09Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.314,0.00271,5,-35.64,1,0.047,0.977,0.942,0.107,0.284,143.663,4
4GuEQQreVfdO89NVhDGjdA,"Hawaiian War Chant","Quiet Village","Martin Denny",1959-06-01,138133,21,seankmchenry,2018-11-28T18:07:15Z,"easy listening,exotica,lounge","Capitol Records",0.576,0.479,2,-13.573,1,0.0569,0.663,0.819,0.129,0.568,143.701,4
5b64nbP4b3KKSzir1RUn9N,"Coronation","Quiet Village","Martin Denny",1959-06-01,172546,17,seankmchenry,2018-11-28T18:07:15Z,"easy listening,exotica,lounge","Capitol Records",0.514,0.709,5,-11.495,1,0.0634,0.731,0.183,0.0971,0.961,143.126,4
1M6OoLriCOZ84NTGkJ9DrR,"Martinique","Quiet Village","Martin Denny",1959-06-01,180360,31,seankmchenry,2018-11-28T18:07:15Z,"easy listening,exotica,lounge","Capitol Records",0.686,0.291,10,-18.234,1,0.0429,0.601,0.431,0.125,0.621,105.793,4
1nBUavjvBXPlP5LWryUm0z,"Kahuna","Exotic Paradise","Paul Conrad",1963-10-24,185413,0,seankmchenry,2018-11-28T18:10:52Z,"","Mahalo Records",0.599,0.557,8,-12.897,1,0.039,0.91,0.947,0.102,0.255,134.949,4
7LYgvw7yUsaBNbJNLcpcsW,"Mejiro","Exotic Paradise","Paul Conrad",1963-10-24,154120,0,seankmchenry,2018-11-28T18:10:52Z,"","Mahalo Records",0.626,0.233,9,-16.923,1,0.0768,0.541,0.00000281,0.103,0.607,109.526,4
6jekAMdEcFBCisq7HTyy88,"Paradise","Exotic Paradise","Paul Conrad",1963-10-24,129680,0,seankmchenry,2018-11-28T18:10:52Z,"","Mahalo Records",0.526,0.208,9,-16.243,0,0.0302,0.973,0.921,0.114,0.0844,77.374,3
6Wm5i1Dns2nPzUN2BpBpJu,"Hana Pele","Legend Of Pele: Sounds Of Arthur Lyman","Arthur Lyman",1998,193120,0,seankmchenry,2018-11-28T18:11:34Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.482,0.43,1,-16.873,1,0.0524,0.391,0.0000392,0.891,0.515,104.952,4
4xEEDvxb2ypUCY2DksxZgB,"Hana Maui","Legend Of Pele: Sounds Of Arthur Lyman","Arthur Lyman",1998,237333,0,seankmchenry,2018-11-28T18:11:34Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.406,0.842,8,-9.973,1,0.0842,0.21,0.882,0.674,0.576,167.228,4
1CK286IU5B8CcMc6QNoSEC,"Taboo","Taboo: The Exotic Sounds Of Arthur Lyman","Arthur Lyman",1996,282493,0,seankmchenry,2018-11-28T18:11:55Z,"easy listening,exotica,jazz vibraphone,lounge","Ryko/Rhino",0.673,0.331,9,-17.239,1,0.0802,0.265,0.0252,0.133,0.271,122.094,4
