Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3EpJ36yrwkPvlUXKeQa7ca,"1FKfMww5N8dkbyo2sp9nBA","Summer Samba (So Nice)","Rain Forest","Walter Wanderley",1966,186960,33,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.746,0.529,9,-10.293,0,0.0312,0.714,0.000636,0.108,0.839,130.531,4
2vbfdmkmMKMY9JJVZck4c0,"1FKfMww5N8dkbyo2sp9nBA","It's Easy To Say Goodbye","Rain Forest","Walter Wanderley",1966,123266,33,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.603,0.591,8,-9.922,1,0.0515,0.752,0.0000336,0.143,0.867,158.565,4
5xcTfceAagGX6LzaKMAji9,"1FKfMww5N8dkbyo2sp9nBA","Cried, Cried (Choru, Choru)","Rain Forest","Walter Wanderley",1966,146106,28,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.561,0.7,7,-8.457,0,0.0526,0.31,0,0.332,0.963,162.617,4
5bXGJIOZZ4TwcUpRYqf450,"1FKfMww5N8dkbyo2sp9nBA","Rain","Rain Forest","Walter Wanderley",1966,228026,41,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.527,0.196,7,-17.663,1,0.0339,0.963,0.905,0.094,0.18,65.869,4
01UOzRssrpuc2GGONEwPWb,"1FKfMww5N8dkbyo2sp9nBA","The Girl From Ipanema","Rain Forest","Walter Wanderley",1966,158800,32,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.476,0.799,9,-8.957,0,0.0298,0.412,0.787,0.296,0.885,141.354,4
5xCWJwUxDDRVI8c4nXhQ3a,"1FKfMww5N8dkbyo2sp9nBA","Beloved Melancholy (Saudade Querida)","Rain Forest","Walter Wanderley",1966,163640,22,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.58,0.64,7,-7.632,1,0.0259,0.816,0.695,0.31,0.77,143.179,4
4tFUJLE5QFibvCv9KgDxVG,"1FKfMww5N8dkbyo2sp9nBA","Taste Of Sadness","Rain Forest","Walter Wanderley",1966,174026,27,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.746,0.761,10,-8.506,1,0.0965,0.711,0,0.11,0.722,93.215,4
3grwDO4qQAhGxqDVLLq3y9,"1FKfMww5N8dkbyo2sp9nBA","Beach Samba","Rain Forest","Walter Wanderley",1966,234800,36,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.65,0.656,2,-9.736,0,0.0286,0.699,0.809,0.186,0.808,129.682,4
0Xr3UeWGMlgHY8jgb5vp9c,"1FKfMww5N8dkbyo2sp9nBA","Call Me","Rain Forest","Walter Wanderley",1966,145573,37,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.677,0.707,5,-9.669,1,0.0488,0.265,0,0.0803,0.933,83.644,4
1arGMYNu8uU9RpFtrqI2cD,"1FKfMww5N8dkbyo2sp9nBA","Cry Out Your Sadness","Rain Forest","Walter Wanderley",1966,167000,37,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.68,0.745,7,-9.067,0,0.0367,0.61,0.00087,0.271,0.758,90.101,4
1xVreIO3Iie6Emaj2S99aK,"1FKfMww5N8dkbyo2sp9nBA","The Great Love","Rain Forest","Walter Wanderley",1966,184226,28,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.805,0.592,2,-9.938,0,0.0311,0.448,0.00536,0.126,0.788,136.959,4
6PlxB2XQWnEXkwYPpgzbtT,"1FKfMww5N8dkbyo2sp9nBA","Song Of The Jet","Rain Forest","Walter Wanderley",1966,161666,29,spotify:user:seankmchenry,2022-06-02T20:10:43Z,"bossa nova,exotica,jazz organ,lounge,space age pop",0.579,0.818,2,-8.997,0,0.0438,0.188,0.00000279,0.0917,0.861,171.51,4
0orZFSGVeJ0ey6O6s2f20n,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","A Certain Smile","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,87226,27,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.388,0.293,10,-17.859,1,0.0492,0.651,0,0.213,0.478,82.696,4
3vHcprrLUS7hJ7sGljPVgf,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","A Certain Sadness","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,188026,34,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.342,0.0764,7,-21.431,1,0.0443,0.929,0,0.0947,0.19,170.123,3
0ofz7rUBELNJXt8E1K4afQ,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Nega Do Cabelo Duro","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,138733,20,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.487,0.539,5,-14.08,0,0.0373,0.512,0.00000916,0.0889,0.9,98.181,4
0gSgUkFCEkXXFHOnpDnHeO,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Summer Samba (So Nice)","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,161533,48,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.593,0.493,3,-14.954,0,0.032,0.766,0,0.0735,0.809,121.749,4
3HtfGoUcqLjUTM7P9amyCh,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Voce Ja Foi Bahia","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,135333,23,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.522,0.491,0,-14.711,1,0.0394,0.598,0.00000801,0.348,0.873,95.751,4
1rpPZxmS05KPgj2nARtBou,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Portuguese Washerwoman","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,90440,19,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.547,0.512,8,-15.889,1,0.0346,0.78,0.89,0.187,0.951,96.312,4
5XpnaZh2IQFPS5PAbm4mbe,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Tristeza","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,213133,40,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.387,0.573,0,-14.085,0,0.0282,0.56,0.00024,0.224,0.933,100.046,4
5NwT6rPi3Q17NWr3AwrkAQ,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Call Me","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,200040,31,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.624,0.472,7,-15.442,1,0.044,0.702,0,0.113,0.539,133.958,4
4cDQEcA1HObx34xScOfoEy,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Here's That Rainy Day","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,163626,24,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.584,0.328,0,-15.88,1,0.0275,0.792,0.0000149,0.0951,0.243,108.67,4
6SYSaCw2zcTIvIIr4ZEToW,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","Tu Mi Delirio","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,218573,37,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.498,0.149,2,-19.468,1,0.0299,0.786,0,0.0858,0.318,95.868,4
0or62mvA7LsC65hKnjSsf0,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","It's A Lovely Day Today","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,158840,20,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.608,0.491,3,-15.914,1,0.0634,0.739,0.000169,0.201,0.736,130.74,4
0LzSfEaqZgBjG2NmwiCuOu,"5rX2c1zow6hCph8PnnU3kF,1FKfMww5N8dkbyo2sp9nBA","The Sadness Of After","A Certain Smile, A Certain Sadness (Expanded Edition)","Astrud Gilberto,Walter Wanderley",1967-01-01,147306,14,spotify:user:seankmchenry,2022-06-02T20:10:45Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz,exotica,jazz organ,space age pop",0.418,0.0447,10,-21.303,1,0.0394,0.907,0,0.352,0.173,130.583,3
