Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ui4eHSZlAD30wfuOmow64,"1R0zsUobPdWeQ3ha6QaEpP","Mate","Jungles","Wandara",2019-07-23,136800,1,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.813,0.584,7,-12.77,1,0.261,0.145,0.49,0.0746,0.357,99.969,3
7FRNdIT7fmN5fmxMpnxork,"1R0zsUobPdWeQ3ha6QaEpP","Irin Ajo Igbo","Jungles","Wandara",2019-07-23,169508,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.588,0.659,6,-14.176,0,0.198,0.179,0.0786,0.145,0.635,175.525,3
3llniOuxNT2IOM0vate7tm,"1R0zsUobPdWeQ3ha6QaEpP","Folklorico Bichiboom","Jungles","Wandara",2019-07-23,168564,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.719,0.976,7,-9.967,1,0.251,0.714,0.0233,0.448,0.615,138.822,4
36XCAhW1bLh1HlqhAwrtiK,"1R0zsUobPdWeQ3ha6QaEpP","Magic High Leaves","Jungles","Wandara",2019-07-23,225944,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.617,0.756,4,-8.466,0,0.0771,0.046,0.518,0.268,0.599,93.735,4
0PwsgPdhORaWL96gKxrmxq,"1R0zsUobPdWeQ3ha6QaEpP","Ola Party","Jungles","Wandara",2019-07-23,443553,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.696,0.852,1,-8.457,0,0.0621,0.499,0.807,0.121,0.272,126.909,4
1wFXUnK0TYZiyXbQ3yec70,"1R0zsUobPdWeQ3ha6QaEpP","No Nation","Jungles","Wandara",2019-07-23,285600,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.693,0.879,8,-9.019,1,0.0469,0.256,0.827,0.533,0.719,100.02,4
6h5S92Lek1bAQyb4DVAQG8,"1R0zsUobPdWeQ3ha6QaEpP","Reflections (Bonus Track)","Jungles","Wandara",2019-07-23,310500,0,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.448,0.575,1,-16.749,0,0.0904,0.743,0.85,0.608,0.183,120.024,4
7wsmIJl9y0YgSmqkAOWFVK,"1R0zsUobPdWeQ3ha6QaEpP","Crossing the Water of Janjeya (Bonus Track)","Jungles","Wandara",2019-07-23,205250,2,spotify:user:seankmchenry,2022-05-25T14:18:22Z,"",0.435,0.921,6,-8.779,1,0.15,0.0875,0.00022,0.0584,0.693,74.992,4
6Clmu9pfDYGM6njx54dLXC,"1R0zsUobPdWeQ3ha6QaEpP","Junshin","Zenmi","Wandara",2019-12-22,266000,4,spotify:user:seankmchenry,2022-05-25T14:18:23Z,"",0.187,0.809,5,-14.842,1,0.0406,0.341,0.82,0.358,0.225,167.882,3
2rRPCHYHF0C9qi29qwHXFi,"1R0zsUobPdWeQ3ha6QaEpP","Nights & Days","Zenmi","Wandara",2019-12-22,316500,4,spotify:user:seankmchenry,2022-05-25T14:18:23Z,"",0.32,0.497,8,-15.964,1,0.0487,0.745,0.934,0.333,0.0389,60.521,4
4dx8nLLALBSqoNd4e3zuLb,"1R0zsUobPdWeQ3ha6QaEpP","Naitosuteppu","Zenmi","Wandara",2019-12-22,356000,1,spotify:user:seankmchenry,2022-05-25T14:18:23Z,"",0.184,0.508,1,-15.795,1,0.0387,0.845,0.978,0.124,0.0778,99.858,4
44vHIOni8JzR9P39OOOak0,"1R0zsUobPdWeQ3ha6QaEpP","Naifū","Zenmi","Wandara",2019-12-22,320000,0,spotify:user:seankmchenry,2022-05-25T14:18:23Z,"",0.17,0.684,1,-14.741,0,0.0479,0.667,0.982,0.0812,0.0783,178.734,3
73ynLkjSRjrAE51udzhPw2,"1R0zsUobPdWeQ3ha6QaEpP","On Maturity","Futuristic Wild Mystic","Wandara",2020-08-16,620794,0,spotify:user:seankmchenry,2022-05-25T14:18:25Z,"",0.627,0.656,10,-12.497,0,0.0596,0.488,0.435,0.0845,0.0808,92.788,4
69tVPLvjm0jqjIcBvkdEuf,"1R0zsUobPdWeQ3ha6QaEpP","Habitat","Futuristic Wild Mystic","Wandara",2020-08-16,265396,0,spotify:user:seankmchenry,2022-05-25T14:18:25Z,"",0.595,0.761,4,-12.244,0,0.073,0.702,0.756,0.113,0.0427,125.54,4
6i0PUEBveEevgoGTgMYw5Y,"1R0zsUobPdWeQ3ha6QaEpP","Solar Surfing","Futuristic Wild Mystic","Wandara",2020-08-16,304083,0,spotify:user:seankmchenry,2022-05-25T14:18:25Z,"",0.632,0.909,8,-13.397,1,0.0406,0.184,0.676,0.308,0.931,119.989,4
4D4SNdzfR6xSThfja91jRU,"1R0zsUobPdWeQ3ha6QaEpP","Futuristic Wild Mystic","Futuristic Wild Mystic","Wandara",2020-08-16,211805,5,spotify:user:seankmchenry,2022-05-25T14:18:25Z,"",0.679,0.918,0,-7.262,0,0.059,0.548,0.908,0.141,0.922,155.419,4
6cyeTx37Kmqk6d4RPaKgEy,"1R0zsUobPdWeQ3ha6QaEpP","Purple Sea Dub","Wandara In Dub","Wandara",2020-12-28,207667,0,spotify:user:seankmchenry,2022-05-25T14:18:26Z,"",0.801,0.546,1,-12.503,1,0.168,0.227,0.473,0.0847,0.53,117.405,4
2Iy14Nj7j0dZGdZv62IFjq,"1R0zsUobPdWeQ3ha6QaEpP","Mama Dub","Wandara In Dub","Wandara",2020-12-28,203245,0,spotify:user:seankmchenry,2022-05-25T14:18:26Z,"",0.804,0.483,11,-11.623,0,0.166,0.00439,0.785,0.078,0.825,131.092,4
1jPWc3ZrTKCVTOQVDwe6Ow,"1R0zsUobPdWeQ3ha6QaEpP","Al Temastel Dub","Wandara In Dub","Wandara",2020-12-28,231096,0,spotify:user:seankmchenry,2022-05-25T14:18:26Z,"",0.743,0.729,2,-10.794,1,0.0893,0.468,0.841,0.0899,0.812,77.478,4
0Vgtuow5X6IfqXxTst0L07,"1R0zsUobPdWeQ3ha6QaEpP","Al Temastel Oti","Wandara In Dub","Wandara",2020-12-28,231096,0,spotify:user:seankmchenry,2022-05-25T14:18:26Z,"",0.752,0.635,9,-9.662,1,0.0594,0.567,0.493,0.104,0.866,77.515,4
