Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7v9Brf9lQzUXaAje1sKJ53,"Hiking With Friends","Hiking With Friends","Jack Allenson",2024-10-06,234988,32,,2024-11-11T14:18:27Z,"","Chill Palm",0.14,0.111,0,-19.463,1,0.0397,0.966,0.936,0.626,0.0764,143.503,4
2tCtg3M5C1DrtjDK6ohc9K,"Forest Trill","Forest Trill","Jónsi",2024-08-16,193978,31,,2024-11-11T14:18:27Z,"icelandic pop,post-rock","Myndstream / Lakeshore Records",0.155,0.531,0,-9.913,1,0.0387,0.187,0.936,0.653,0.0332,157.546,3
6OkvlO81fddcToTquby7XD,"Light Divides","Something Ephemeral","Alaskan Tapes",2024-09-20,214125,24,,2024-11-11T14:18:27Z,"pastoral","Nettwerk Music Group",0.163,0.151,1,-22.416,1,0.0412,0.963,0.968,0.115,0.0589,130.221,3
0IDqWLPGDQ4ntcfzzEC2HG,"Meet Me By The Ocean","Meet Me By The Ocean","Center of Attention,Natureland",2024-07-12,181199,37,,2024-11-11T14:18:27Z,"organic ambient","Silent Sonic AB",0.166,0.0676,9,-22.835,1,0.0369,0.978,0.962,0.109,0.0398,103.743,4
5c5bwSNhKewBJgtxKhVhjy,"Het Wed","Het Wed","Neighborhood Libraries",2024-08-23,236000,35,,2024-11-11T14:18:27Z,"","Nettwerk Music Group",0.167,0.183,0,-21.415,1,0.0426,0.784,0.88,0.0505,0.0296,127.899,4
5Hb4ibFJyxsQeA7zlVvbCH,"In the Mirror","Summer Chronicles","David Cordero,Rhucle",2023-11-18,167000,32,,2024-11-11T14:18:27Z,"drift,j-ambient,spanish experimental,dreampunk","Home Normal",0.184,0.0757,3,-24.534,1,0.0412,0.993,0.937,0.071,0.0377,123.212,3
7pzRLdm6APmgaCPOTRjGNH,"Intentions","Intentions","Nairuz",2024-01-31,160615,26,,2024-11-11T14:18:27Z,"","Levantine Music",0.228,0.0911,9,-31.861,1,0.0358,0.757,0.862,0.102,0.035,62.352,5
4snF5UUPhYAaoDnUyfwpTE,"Arrow","Arrow","Nao Otsuka",2022-02-11,224000,28,,2024-11-11T14:18:27Z,"j-ambient","Atlantea Records",0.154,0.467,4,-21.048,0,0.0421,0.994,0.958,0.238,0.277,134.757,5
3Ve1THBjsyIZ9JJ2sE1RQq,"Contours","Contours","Cephas Azariah",2024-08-27,248164,30,,2024-11-11T14:18:27Z,"","Reflections",0.441,0.162,5,-21.89,1,0.0322,0.917,0.93,0.0781,0.0786,99.976,4
3gQSfPwtxXgCUFK3DeizAw,"Enkō-ji Loop","Enkō-ji Loop","Imaginary Softwoods",2023-09-20,607999,28,,2024-11-11T14:18:27Z,"ambient,drift,fourth world,j-ambient,pastoral","Mineral Disk",0.174,0.0507,10,-35.879,0,0.0515,0.826,0.979,0.113,0.0699,61.289,3
0QxbJ67ZLeDZZSS6RYO3mf,"Room for Whatever Is Left","Remnants","Hanna Lindgren",2024-10-07,502500,23,,2024-11-11T14:18:27Z,"","Epidemic Sound",0.122,0.022,2,-33.068,1,0.0402,0.981,0.977,0.108,0.0368,81.855,3
6W7VUWThQ9N0UQKH0ooqwx,"Over Ocean Waves","Over Ocean Waves","Hollie Kenniff",2024-07-12,250680,27,,2024-11-11T14:18:27Z,"spectra","Nettwerk Music Group",0.0627,0.26,0,-17.504,1,0.0358,0.642,0.902,0.0984,0.0327,66.701,4
36P3vJ3lZhNHvZEoIdB0MS,"Idyll","Idyll","Alyas",2023-07-07,182000,26,,2024-11-11T14:18:27Z,"ambient guitar,organic ambient","Oscar Törnqvist",0.0768,0.24,0,-21.037,1,0.0449,0.888,0.969,0.687,0.0377,81.924,4
76ZzbHJqu3jahM8IhaEHkW,"HereAfter","HereAfter","yanaco",2024-08-09,363323,28,,2024-11-11T14:18:27Z,"","P-VINE RECORDS",0.152,0.516,9,-10.668,1,0.0343,0.838,0.91,0.166,0.179,81.667,4
4S2VjUAKORDAJJfli8Mjnw,"Viridian","Viridian","v e n n,Sound Therapist,Suseti",2023-02-17,255857,25,,2024-11-11T14:18:27Z,"organic ambient,ambient guitar","Sound Meditation",0.306,0.236,5,-17.261,0,0.0701,0.988,0.253,0.0865,0.0392,137.538,1
0Jk2G81co389RWNdlIRvlZ,"Waves Are Speaking","Oceans II","Le Code",2023-10-06,282587,29,,2024-11-11T14:18:27Z,"organic ambient","AC Personal Records",0.165,0.13,4,-22.411,0,0.0483,0.83,0.975,0.0837,0.0358,113.782,4
4zFgXfvzNt7Nj7ccOGQEab,"Clearing","Clearing","dYb",2023-01-20,226285,45,,2024-11-11T14:18:27Z,"","Hilo Lohi",0.0923,0.0439,2,-28.255,1,0.042,0.949,0.85,0.104,0.0841,87.043,3
