Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zn4gwtlRJ5WpY5lCEitpH,"3GC8N34WtfcKZR5K4SRMdd","Marias River Breakdown","High Plains","Philip Aaberg",1986-06-16,297266,18,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.152,0.0696,10,-29.074,1,0.0382,0.992,0.873,0.0948,0.0396,105.381,4
5JOxUhnc9FjD6oOlIwhFL9,"3GC8N34WtfcKZR5K4SRMdd","Montana Half-Light","High Plains","Philip Aaberg",1986-06-16,224733,27,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.204,0.0166,2,-31.082,1,0.0349,0.982,0.863,0.0762,0.254,168.708,4
0mFYNLnbnxgHW1eFYpHpaq,"3GC8N34WtfcKZR5K4SRMdd","Lou Ann","High Plains","Philip Aaberg",1986-06-16,338706,13,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.365,0.00283,3,-27.304,1,0.0574,0.988,0.934,0.106,0.0735,66.963,3
4AVmzRCbY0dp7DqApDDXNm,"3GC8N34WtfcKZR5K4SRMdd","Remembering This Place","High Plains","Philip Aaberg",1986-06-16,175466,25,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.47,0.00407,9,-28.244,1,0.0985,0.994,0.932,0.0806,0.219,116.192,4
6BFWPgkObQuJPiYGMGq4Gz,"3GC8N34WtfcKZR5K4SRMdd","Westbound","High Plains","Philip Aaberg",1986-06-16,208346,8,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.583,0.127,7,-23.272,1,0.0377,0.967,0.835,0.0706,0.748,112.818,4
4t7PDvf8x1ZrSoPTEapaAt,"3GC8N34WtfcKZR5K4SRMdd","High Plains","High Plains","Philip Aaberg",1986-06-16,211826,30,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.223,0.0405,7,-29.549,1,0.0521,0.994,0.913,0.124,0.0558,150.344,4
3SQe6ZJxbOaPXm7lBOJ6Q7,"3GC8N34WtfcKZR5K4SRMdd","The Big Open","High Plains","Philip Aaberg",1986-06-16,369600,9,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.19,0.115,2,-26.235,0,0.0371,0.992,0.883,0.0898,0.0451,105.259,3
5WYao2A3yE3IFGPZ9seYoJ,"3GC8N34WtfcKZR5K4SRMdd","Spring Creek","High Plains","Philip Aaberg",1986-06-16,192680,12,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.241,0.0321,10,-27.565,1,0.0528,0.991,0.914,0.0714,0.0733,158.286,4
3HnKuyFHkLrXzLgir8WCxw,"3GC8N34WtfcKZR5K4SRMdd","Three From the Hills","High Plains","Philip Aaberg",1986-06-16,363533,8,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.216,0.0177,4,-27.318,1,0.0687,0.994,0.906,0.0828,0.173,68.335,4
6ANpXnRv33faAaaZUUuGYk,"3GC8N34WtfcKZR5K4SRMdd","Going-To-The-Sun","High Plains","Philip Aaberg",1986-06-16,224973,20,spotify:user:seankmchenry,2022-07-28T20:08:12Z,"new age,new age piano",0.2,0.0277,3,-26.882,1,0.0411,0.987,0.841,0.112,0.063,182.964,3
