Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1RhL5PGWaiYXwVmqOpj0Nm,"48dgx7iGqLQ3E5KO3pzd94","Afrique Victime","Afrique Victime","Mdou Moctar",2021-05-21,445816,37,spotify:user:seankmchenry,2022-06-03T15:16:54Z,"afropop,desert blues,tuareg guitar",0.263,0.872,5,-6.426,1,0.161,0.0488,0.12,0.329,0.382,105.98,4
7dGZQOFKsZbBQUMaJFI0Su,"48dgx7iGqLQ3E5KO3pzd94","Kamane Tarhanin","Ilana (The Creator)","Mdou Moctar",2019-03-29,308393,29,spotify:user:seankmchenry,2022-06-03T15:16:54Z,"afropop,desert blues,tuareg guitar",0.172,0.762,5,-7.41,0,0.0698,0.359,0.81,0.15,0.569,184.128,3
3CKMdD9PthYhkzXo9raTZW,"48dgx7iGqLQ3E5KO3pzd94","Tarha","Mdou Moctar: Blue Stage Session","Mdou Moctar",2019-01-18,272654,14,spotify:user:seankmchenry,2022-06-03T15:17:04Z,"afropop,desert blues,tuareg guitar",0.461,0.823,4,-6.089,1,0.099,0.139,0.0594,0.332,0.811,91.539,4
5yUPXkDPavIKLQLCJO03OX,"48dgx7iGqLQ3E5KO3pzd94","Kamane Tarhanine","Mdou Moctar: Blue Stage Session","Mdou Moctar",2019-01-18,352758,13,spotify:user:seankmchenry,2022-06-03T15:17:04Z,"afropop,desert blues,tuareg guitar",0.46,0.888,4,-8.132,0,0.0594,0.11,0.000872,0.603,0.709,119.447,4
3ZIE8flTJ6WWn8wF0YzaaQ,"7x5Slu7yTE5icZjNsc3OzW,5BwMgvRwlq61SmknvsVIQj","Plástico","Siembra","Willie Colón,Rubén Blades",1978-01-01,401880,55,spotify:user:seankmchenry,2022-06-03T15:17:22Z,"salsa,tropical,latin jazz,tipico",0.658,0.541,11,-7.73,0,0.0585,0.797,0.00000184,0.456,0.7,103.176,4
7aKs8kWKKau0SDgaeyZMAX,"7x5Slu7yTE5icZjNsc3OzW,5BwMgvRwlq61SmknvsVIQj","Pedro Navaja","Siembra","Willie Colón,Rubén Blades",1978-01-01,445080,64,spotify:user:seankmchenry,2022-06-03T15:17:22Z,"salsa,tropical,latin jazz,tipico",0.595,0.574,2,-7.411,1,0.11,0.789,0.0000953,0.209,0.825,94.904,4
5JUewvkJKWoMjiNfv8CLMF,"3qCls5yoLamcLy4uyqcHJ4","Love Tunnel","IES-Italian Erotic Sounds","Julie Wilde",2019-07-01,246065,7,spotify:user:seankmchenry,2022-06-03T15:17:48Z,"",0.704,0.633,10,-10.893,0,0.0338,0.331,0.0161,0.152,0.908,130.08,4
3HQj8ptyPALkoEZtKchDQg,"2arIWxvPDRsApcA4nnf8Tu","How Wonderful You Are","IES-Italian Erotic Sounds","Monique Rossi",2019-07-01,251404,6,spotify:user:seankmchenry,2022-06-03T15:17:48Z,"",0.733,0.723,10,-9.805,1,0.045,0.201,0.0646,0.114,0.918,122.268,4
1nzFahI6JVpHGP80IlkXpM,"2QLULhndVQf3TTpDwZYJFV","Diva Da Strapazzo (Unreleased Instrumental Version)","IES-Italian Erotic Sounds","Mimesis",2019-07-01,268219,6,spotify:user:seankmchenry,2022-06-03T15:17:48Z,"",0.672,0.726,0,-9.63,1,0.0314,0.000455,0.749,0.167,0.958,131.987,4
12Ai6PRrEhiTH4vPhvpkIz,"5JcPSUYwjwIl73ZcbRzimm","I'm Ready to Go","Country","Plava Trava Zaborava",1985-01-01,158493,2,spotify:user:seankmchenry,2022-06-03T15:18:07Z,"croatian folk",0.593,0.695,9,-8.804,1,0.0273,0.0285,0.0000011,0.336,0.903,140.501,4
0V3UPxvhAdZaVLg568FjQa,"5JcPSUYwjwIl73ZcbRzimm","Corina, Corina","Country","Plava Trava Zaborava",1985-01-01,170680,1,spotify:user:seankmchenry,2022-06-03T15:18:07Z,"croatian folk",0.65,0.722,9,-10.205,1,0.025,0.0305,0.0000275,0.314,0.756,97.7,4
4X4j5ZUIeREbPlEth6uCVR,"5JcPSUYwjwIl73ZcbRzimm","Yugo Goes to Nashville","Country","Plava Trava Zaborava",1985-01-01,137920,1,spotify:user:seankmchenry,2022-06-03T15:18:07Z,"croatian folk",0.583,0.705,3,-9.998,1,0.0303,0.00452,0.523,0.0793,0.946,135.933,4
05DXHbuGdRhzQQcGHfHSQg,"2cT80XDBKzJ18HgxPRKSjp","Aquaplane","Le deltaplane","Andre Solomko",2018-05-11,371163,1,spotify:user:seankmchenry,2022-06-03T15:18:29Z,"",0.659,0.738,9,-7.839,0,0.0281,0.00244,0.000564,0.109,0.545,103.665,4
4w4VTLACEFBlvv5f1M94Gm,"2cT80XDBKzJ18HgxPRKSjp","Summer 79","Le deltaplane","Andre Solomko",2018-05-11,368545,4,spotify:user:seankmchenry,2022-06-03T15:18:29Z,"",0.379,0.684,9,-6.983,1,0.0466,0.197,0.000506,0.169,0.249,83.662,4
7EtnNxSrdz1illcNfhwLEK,"3bcYSJSQYuSKp5LoYD4VkM","E' Prumesse","Napoli Segreta","Antonio Sorrentino",2018-07-02,232497,32,spotify:user:seankmchenry,2022-06-03T15:18:39Z,"canzone napoletana,neapolitan funk",0.782,0.775,10,-9.769,1,0.0573,0.245,0.0000265,0.0558,0.888,122.366,4
0vOSUXD0HooDmX1lZdc4xL,"3bcYSJSQYuSKp5LoYD4VkM","Luna Lù","Napoli Segreta Vol.2","Antonio Sorrentino",2020-02-21,273577,30,spotify:user:seankmchenry,2022-06-03T15:18:39Z,"canzone napoletana,neapolitan funk",0.626,0.721,0,-9.034,1,0.0412,0.174,0.0000167,0.356,0.487,111.506,4
