Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5abWgHuKdRhWotjDxhvj5k,"White Christmas","The Andy Williams Christmas Album","Andy Williams",1963-11-24,148266,45,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.281,0.248,0,-14.578,1,0.0282,0.898,0.00675,0.113,0.13,92.375,4
3sDdyBHQ60Cs1opmIyRvhp,"Happy Holiday / The Holiday Season","The Andy Williams Christmas Album","Andy Williams",1963-11-24,156866,74,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.505,0.451,9,-10.193,0,0.0329,0.727,0,0.233,0.744,74.347,4
4m4jcdYw18KGodeRCh1KFY,"The Christmas Song (Chestnuts Roasting On an Open Fire)","The Andy Williams Christmas Album","Andy Williams",1963-11-24,152693,60,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.265,0.301,5,-11.589,0,0.0313,0.871,0,0.127,0.184,136.426,4
5hslUAKq9I9CG2bAulFkHN,"It's the Most Wonderful Time of the Year","The Andy Williams Christmas Album","Andy Williams",1963-11-24,151933,85,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,3
5wbQ6oZjDZO9xREdXA0CZw,"A Song and a Christmas Tree (The Twelve Days of Christmas)","The Andy Williams Christmas Album","Andy Williams",1963-11-24,234973,50,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.725,0.432,5,-11.923,0,0.0422,0.861,0,0.121,0.707,114.081,4
6ES0wuMhAYP03c0DRcI06e,"Kay Thompson's Jingle Bells","The Andy Williams Christmas Album","Andy Williams",1963-11-24,125000,39,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.481,0.636,10,-8.907,1,0.0498,0.793,0,0.124,0.893,149.644,4
1DvjCIefxg1YsdG3ETROph,"The First Noël","The Andy Williams Christmas Album","Andy Williams",1963-11-24,187000,69,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.23,0.233,0,-10.745,1,0.0286,0.915,0,0.265,0.352,80.73,3
2Lk1mO78gqC0CxlNkldTWh,"O Holy Night","The Andy Williams Christmas Album","Andy Williams",1963-11-24,201640,49,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.205,0.168,0,-12.561,1,0.0313,0.943,0,0.104,0.147,83.138,4
7BMumfQClxduJQpuku2ZVn,"Away in a Manger","The Andy Williams Christmas Album","Andy Williams",1963-11-24,169933,38,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.166,0.17,7,-13.16,1,0.0304,0.876,0,0.329,0.349,83.382,4
7eIblxbN3QfRIpemPt1tpu,"Sweet Little Jesus Boy","The Andy Williams Christmas Album","Andy Williams",1963-11-24,195573,35,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.181,0.1,5,-14.597,1,0.0331,0.912,0,0.0896,0.0643,84.596,5
1SkCx8w8y7TWVakdm2tV5m,"The Little Drummer Boy","The Andy Williams Christmas Album","Andy Williams",1963-11-24,134960,45,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.698,0.361,5,-12.782,1,0.0276,0.782,0.00000143,0.152,0.53,75.619,4
3TsoMWVVcbs1mKHBiW5aWz,"Silent Night, Holy Night","The Andy Williams Christmas Album","Andy Williams",1963-11-24,135000,49,seankmchenry,2023-12-11T16:47:37Z,"adult standards,easy listening","Columbia/Legacy",0.204,0.153,10,-16.068,1,0.0336,0.922,0.000572,0.115,0.181,89.405,1
7czIHKKr3hrG1qqnKnKvXQ,"Christmas Chopsticks","A Very Merry Christmas","Bobby Vinton",1964-07-22,132653,10,seankmchenry,2023-12-11T16:47:47Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.221,0.375,6,-11.347,1,0.0314,0.784,0,0.359,0.413,172.125,3
2ZRPJQGHl5XTw3TLNa11fn,"The Bell That Couldn't Jingle","A Very Merry Christmas","Bobby Vinton",1964-07-22,140453,11,seankmchenry,2023-12-11T16:47:47Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.514,0.401,5,-11.941,1,0.0284,0.692,0,0.112,0.589,81.236,4
13XcQHMh1dMTosevhJZzzL,"Do You Hear What I Hear","A Very Merry Christmas","Bobby Vinton",1964-07-22,173826,12,seankmchenry,2023-12-11T16:47:47Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.412,0.413,1,-12.328,1,0.029,0.728,0,0.402,0.287,95.618,4
3O4TzTdmMhh0wCqSLByhUw,"Dearest Santa","A Very Merry Christmas","Bobby Vinton",1964-07-22,169386,8,seankmchenry,2023-12-11T16:47:47Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.239,0.236,3,-12.58,1,0.0288,0.826,0,0.101,0.319,85.291,4
