Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
15nleBypXxYBFnrbMDE2Qc,"7d7q5Y1p2QWS4QRAhTQR5E","Shadows In The Moonlight","New Kind Of Feeling","Anne Murray",1979,209733,41,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"adult standards,canadian country,canadian pop,mellow gold,soft rock",0.656,0.551,0,-9.873,1,0.0265,0.00415,0.0000986,0.119,0.481,104.702,4
608xszaAxVh4m7NcKJiAbF,"0ECwFtbIWEVNwjlrfc6xoL","One of These Nights - 2013 Remaster","One of These Nights (2013 Remaster)","Eagles",1975,291685,72,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"album rock,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4
2tw1ZDp8vbVbJjHchv6XZQ,"7F81AqbZ2eUSjf9FpVptwO","Look Who's Lonely Now","Bill LaBounty","Bill LaBounty",1982-01-01,236600,42,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"deep soft rock,yacht rock",0.632,0.42,11,-12.349,0,0.0316,0.103,0.00000172,0.0392,0.748,88.87,4
7KelKubu28v8Zr4gVsjJXB,"1PYQA0KyNbgMyhLrBoVbyi","Gotta Have The Real Thing","Gotta Have The Real Thing","Rick Riso",2000-06-13,240026,10,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"deep soft rock",0.683,0.222,9,-20.756,1,0.0326,0.562,0.0000236,0.0804,0.83,93.222,4
6vOMU2u38Z9Wru3CqPxcKs,"1MXwwmS2JpmsHZhdMeOL2s","Let Me Love You Tonight","Firin' Up","Pure Prairie League",1980-01-01,167106,44,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,roots rock,singer-songwriter,soft rock",0.461,0.454,10,-12.352,1,0.0488,0.404,0,0.0657,0.703,104.556,4
3uUVAJzN25gMlcNH4kpL8L,"39T6qqI0jDtSWWioX8eGJz","Flying Cloud","What Were Once Vices Are Now Habits","The Doobie Brothers",1974,119893,33,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.455,0.271,4,-20.356,0,0.0421,0.276,0.145,0.266,0.496,139.877,4
6KsgCYcZKPcBRDNGhiZWRR,"19ra5tSw0tWufvUp8GotLo","Careless Whisper","Make It Big","George Michael",1984-10-23,392266,60,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"dance pop,new wave pop",0.567,0.32,2,-18.386,0,0.036,0.345,0.00000251,0.316,0.529,76.58,4
4TxBGpTxrNvRNhF39Dl3NQ,"3YR92OLKlvkK5oKNekSqXe","Mornin'","Jarreau","Al Jarreau",1983,258399,58,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"adult standards,smooth jazz,soft rock,yacht rock",0.58,0.464,2,-13.252,1,0.0339,0.19,0.00003,0.263,0.563,89.775,4
2yBVeksU2EtrPJbTu4ZslK,"39T6qqI0jDtSWWioX8eGJz","What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,71,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
6DJwsCe58pVp57NZBMFIna,"4ZeqFaMDjGUe1IHJznXUbr","Fool in Love with You","Cafe Drive Standard 2","Jim Photoglo",2011-04-27,226080,0,spotify:user:seankmchenry,2020-04-08T00:34:08Z,"",0.729,0.515,1,-9.262,0,0.05,0.566,0.00000909,0.0465,0.909,84.01,4
