Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1obBj3ERYkMo1KtDslYTVB,"Midnight Sun","Observations","Mezzoforte",1984-01-01,271426,0,seankmchenry,2020-10-31T14:09:10Z,"icelandic jazz","IC Records",0.713,0.806,0,-11.147,1,0.0434,0.44,0.858,0.052,0.961,104.207,4
2L3OGHjbZbvoFy31JvxHnV,"Ocean Views","Mosaic","Mark Egan",1993,354000,3,seankmchenry,2020-10-31T14:11:23Z,"electric bass","Wavetone Records",0.771,0.303,4,-24.552,0,0.0325,0.768,0.87,0.0658,0.587,116.302,4
6vU0nFKGKVLUeqp7Gj4QuE,"Before You Go","Street Dreams","Lyle Mays",1988,413240,0,seankmchenry,2020-10-31T16:46:25Z,"jazz fusion,jazz piano","Warner Jazz",0.56,0.424,5,-13.749,0,0.0261,0.593,0.836,0.0879,0.572,149.926,4
5wVhAMjaq6bPMPo9luObhn,"Lovers","Finis","Finis Henderson",1983-09-09,286080,17,seankmchenry,2020-10-31T14:13:28Z,"deep soft rock","UNI/MOTOWN",0.665,0.7,11,-4.994,0,0.0337,0.258,0,0.243,0.918,140.041,3
68s7gX8cTvGXSvyNBolyhD,"Blame It On The Night","Finis","Finis Henderson",1983-09-09,221706,37,seankmchenry,2020-10-31T14:13:30Z,"deep soft rock","UNI/MOTOWN",0.648,0.827,1,-4.586,1,0.0499,0.319,0,0.104,0.829,95.464,4
1WBpYN1XCXEzFJeRMENJMB,"Flyin' to Santa Barbara","Aor Global Sounds Vol.4","Special Occasion",2019-01-25,394629,18,seankmchenry,2020-10-31T14:13:33Z,"","Favorite Recordings",0.85,0.463,8,-11.305,0,0.0489,0.112,0.851,0.0692,0.966,108.458,4
0wHV6sm8sJBZsDALYEAoe1,"Volare (Nel Blu Dipinto Di Blu)","Saravah!","Yukihiro Takahashi",1978-06-21,150226,26,seankmchenry,2020-10-31T14:16:39Z,"japanese new wave,techno kayo","WeWantSounds",0.664,0.682,8,-7.022,1,0.0614,0.521,0.000117,0.149,0.788,141.553,4
4IBoDzxcRRRhQ6dozP28aQ,"The Caves Of Altamira","The Royal Scam","Steely Dan",1976-01-01,213800,50,seankmchenry,2020-10-31T14:23:01Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen*",0.671,0.557,6,-12.043,0,0.0441,0.107,0.000388,0.129,0.818,78.675,4
1FLQYGTaDYzGjpP9c82Q1G,"The Fez","The Royal Scam","Steely Dan",1976-01-01,241266,45,seankmchenry,2020-10-31T14:23:01Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen*",0.565,0.782,9,-9.173,0,0.0295,0.247,0.827,0.611,0.867,98.672,4
34C3UVHdq8Uay5EzUHvJqH,"Green Earrings","The Royal Scam","Steely Dan",1976-01-01,245333,37,seankmchenry,2020-10-31T14:23:28Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen*",0.588,0.881,7,-9.406,1,0.0459,0.0567,0.076,0.273,0.816,112.176,4
66Z1a7ndI4EWrXonoCvJsu,"In The Sand","Shake","iLEVEL",1985-01-01,258223,16,seankmchenry,2020-10-31T14:34:08Z,"brit funk","UMC (Universal Music Catalogue)",0.922,0.508,4,-15.438,1,0.0626,0.179,0.0198,0.473,0.968,117.262,4
5VSxOUW2zqOo77pauTqpFG,"Give Me","I-Level","iLEVEL",1983-01-01,241539,31,seankmchenry,2020-10-31T14:40:58Z,"brit funk","UMC (Universal Music Catalogue)",0.829,0.634,1,-9.59,0,0.0603,0.0291,0.015,0.35,0.893,114.446,4
1D2QnxvMOac95EG9C0KbsJ,"So In Love","Crush","Orchestral Manoeuvres In The Dark",1985-06-17,209360,56,seankmchenry,2020-10-31T14:41:19Z,"new romantic,new wave,new wave pop,permanent wave,synthpop","Virgin Catalogue",0.599,0.805,5,-7.07,1,0.0277,0.0863,0.0013,0.566,0.962,120.049,4
7pFydJbDEToJHtvl6g579k,"(Forever) Live And Die","The Pacific Age","Orchestral Manoeuvres In The Dark",1986-09-29,218133,48,seankmchenry,2020-10-31T14:41:26Z,"new romantic,new wave,new wave pop,permanent wave,synthpop","Virgin Records",0.605,0.545,0,-13.603,1,0.0297,0.0902,0.244,0.149,0.865,90.179,4
5ZTwU6RVJxdgD2EIR8gnRp,"Shine On","Summer Breeze","PIPER",1983-05-01,345253,25,seankmchenry,2020-11-02T18:30:18Z,"classic city pop","Light In The Attic Records",0.68,0.812,0,-11.041,1,0.0636,0.524,0.766,0.131,0.558,110.592,4
6RG8y3WSNUE3DcIC3eQCXO,"Blue Lips","Invitation to Her's","Her's",2018-08-24,222062,51,seankmchenry,2020-10-31T14:42:00Z,"indie pop,liverpool indie,pov: indie","Heist Or Hit Records",0.359,0.727,2,-7.088,1,0.0345,0.0512,0.81,0.112,0.698,109.853,4
1fTozBT4lIu2KE7kBlsBiy,"Around 12:15 AM","Love Season","Alex Bugnon",1989-01-01,292800,21,seankmchenry,2020-10-31T15:44:43Z,"smooth jazz","EMI/EMI Records (USA)",0.696,0.589,0,-11.949,1,0.0306,0.035,0.643,0.0669,0.887,106.946,4
6SoY3GYxJDyFbYJQ1Wmt7b,"Love You out of Your Mind","An Eye for an Eye","Byrne & Barnes",1981,195789,37,seankmchenry,2020-10-31T15:46:50Z,"deep soft rock,yacht rock","Favorite",0.691,0.439,10,-11.379,0,0.0786,0.826,0.0039,0.174,0.835,83.007,4
5FCM1Xr1C9yTKzc4FInetw,"The Soul Awakening","Working With Fire And Steel","China Crisis",1983-01-01,275800,25,seankmchenry,2020-10-31T15:48:53Z,"new romantic,new wave pop,sophisti-pop,synthpop","Virgin Records",0.706,0.33,3,-18.721,1,0.0287,0.681,0.00687,0.116,0.704,104.584,4
