Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1M2u72CcMrIgfDK15CtLTD,"4jBaiMLmjCqpci9wENQ7fR","Sa Fosca","El Sur","Joan Bibiloni",2014,422251,11,spotify:user:seankmchenry,2017-02-24T03:56:56Z,"musica mallorquina",0.724,0.521,4,-10.196,0,0.0453,0.566,0.375,0.0707,0.162,106.859,4
6pb0Qn4rloM2rK1DYG8FMo,"6xDbE6ouu5n5tnDCUnjHRy","Sanfra","Long Distance, Vol. 2","Merge",1994,299030,0,spotify:user:seankmchenry,2017-02-24T03:57:39Z,"",0.507,0.647,2,-11.578,0,0.0347,0.635,0.651,0.216,0.646,92.149,4
4r7C9TmDbNdexVP1nxdZLJ,"4VnaEWTHIwbqbDCwNPpfde","Vision Partially Obscured","Phantom Actors","Jonny Nash",2014-09-01,242953,5,spotify:user:seankmchenry,2017-02-24T03:58:19Z,"experimental ambient,fourth world",0.256,0.0134,5,-30.488,1,0.0382,0.892,0.212,0.0982,0.0396,144.883,4
2QgMHZ9RDGPeNCuR7TwCT2,"4VnaEWTHIwbqbDCwNPpfde","Phantom Actors","Phantom Actors","Jonny Nash",2014-09-01,452336,14,spotify:user:seankmchenry,2017-02-24T03:58:26Z,"experimental ambient,fourth world",0.302,0.26,2,-23.729,0,0.0428,0.792,0.93,0.139,0.154,124.97,4
312f1c2NbtQKam65h7Mq39,"2rxgmguaQSynTMnBKZL73G","Impossible Island","Clouds","Gaussian Curve",2015-04-16,448352,39,spotify:user:seankmchenry,2017-02-24T03:58:53Z,"dutch experimental electronic,fourth world,shoegaze",0.601,0.165,0,-19.596,1,0.032,0.883,0.903,0.112,0.466,92.02,4
0Hc3Z2jpj1AxEs9X8Np7Mv,"6AUMk9WLY52cBTArQhLTKu","Sunrise Prototypes","Zeus & Apollo","Hatchback",2011-03-28,736146,6,spotify:user:seankmchenry,2017-02-24T04:00:04Z,"balearic",0.453,0.148,8,-25.854,1,0.0357,0.926,0.913,0.122,0.0304,191.9,4
331tP1ALdrmjioH4RznvwC,"73IRHBhotETMmgvRCEyTCS","Pleasure Centre","On Vacation","CFCF",2016-02-19,347069,19,spotify:user:seankmchenry,2017-02-24T04:01:13Z,"balearic,chillwave",0.612,0.87,2,-10.143,0,0.0408,0.000978,0.895,0.118,0.76,94.016,4
64j17rirci6soUBV8jDG96,"73IRHBhotETMmgvRCEyTCS","Lighthouse On Chatham Sound","On Vacation","CFCF",2016-02-19,265942,9,spotify:user:seankmchenry,2017-02-24T04:02:04Z,"balearic,chillwave",0.183,0.255,11,-15.051,1,0.0368,0.956,0.885,0.0802,0.0465,72.23,5
56ZtZUbXx3fepiXct8eH5K,"4jNjkCHWmf2WHMc1qwfRsA","Mandala Maksim","Lingua Franca","Len Leise",2015-10-30,316771,10,spotify:user:seankmchenry,2017-02-24T04:03:26Z,"",0.734,0.668,3,-12.118,0,0.0306,0.302,0.913,0.121,0.966,110.014,4
0y7loi7lFtfNPF5pxJamiw,"6JGGS3JOcMIxa0QF6pFnzN","Journey to the Sun","Island of Dreams","D.K.",2015,235171,33,spotify:user:seankmchenry,2017-02-24T04:04:35Z,"float house",0.623,0.581,8,-8.919,0,0.0284,0.736,0.932,0.091,0.774,102.007,4
45LU5j3n7E1B4080gYosZZ,"6JGGS3JOcMIxa0QF6pFnzN","Play On","Island of Dreams","D.K.",2015,231456,31,spotify:user:seankmchenry,2017-02-24T04:04:38Z,"float house",0.756,0.49,0,-10.371,0,0.0466,0.808,0.898,0.106,0.649,103.989,4
3Dt1DMZBkZNx1EcnuAnOvf,"5c3BWT5X6KEzQafxDEmeXg","Rebecca’s Theme (Water)","Balearic","Art Wilson",2015-06-22,276133,0,spotify:user:seankmchenry,2017-02-24T04:07:06Z,"",0.634,0.384,5,-13.091,1,0.0553,0.931,0.852,0.823,0.592,89.958,4
7mwceX0IAFikFmpK1fQt8R,"1StpDeeRA4A5BC00GAP8Ka","Tisno","Balearic 2","Stratus",2016-07-01,442984,0,spotify:user:seankmchenry,2017-02-24T04:08:21Z,"",0.47,0.68,11,-12.096,0,0.0475,0.803,0.902,0.0812,0.796,175.987,4
4a8njLGIK0meARLqzvysDn,"1FTn5osUbCr8n7WgYmbK5m","Flatiron","Talk from Home","Suzanne Kraft",2015-08-28,420098,41,spotify:user:seankmchenry,2017-02-24T04:09:12Z,"",0.407,0.256,2,-12.999,1,0.0454,0.765,0.882,0.118,0.118,121.902,4
0lVpKvH1zy7jxWffjfMJgj,"1FTn5osUbCr8n7WgYmbK5m","Two Chord Wake","Talk from Home","Suzanne Kraft",2015-08-28,298637,27,spotify:user:seankmchenry,2017-02-24T04:09:30Z,"",0.769,0.453,10,-8.694,1,0.0847,0.22,0.747,0.0854,0.189,158.97,4
7HWWIxRF76VDkYE6gltmCs,"21Uejbf0dmBe3tEOUhWWt0","Valley In The Clouds","Valley In The Clouds","David Arkenstone",1987-01-01,215666,26,spotify:user:seankmchenry,2017-02-24T04:30:56Z,"new age,video game music",0.45,0.541,5,-16.004,0,0.0335,0.292,0.877,0.067,0.865,173.826,4
3KyuU54Ui0dTtCI2Xkfkrh,"4qzIpmopZ2KVodpmw7uJKe","Oasis","Correlations","Ashra",1979-01-01,226240,34,spotify:user:seankmchenry,2017-02-24T04:45:19Z,"ambient,art rock,berlin school,experimental,fourth world,krautrock,moog,space rock",0.699,0.153,2,-20.742,1,0.0332,0.948,0.774,0.111,0.605,108.656,4
7Et6FxiRbneqkL16PWWA23,"5RCS9Xqy73xFqAL2LG41VJ","Sonrise","Expressions","Linkwood",2015-03-30,172261,0,spotify:user:seankmchenry,2017-02-25T05:03:17Z,"deep house,deep soul house,float house,scottish electronic",0.221,0.404,0,-17.111,1,0.0407,0.236,0.93,0.198,0.291,127.483,4
3HY3MU2BH5677B31S2D9Jq,"5WDoumrDaS65uckz86oZX3,4Um1enBnsLTfmmhq182rCz","Driftwood","Vibrate On Silent","Andras Fox,'The Professor' Gary Davis",2014-09-08,221253,0,spotify:user:seankmchenry,2017-02-25T05:04:25Z,"",0.729,0.408,7,-13.071,0,0.0438,0.762,0.236,0.666,0.136,100.008,4
6NJiHNZEpprR2b43SMzE1x,"2OCGJk1N7eN9faLPLs07Ax","Just Landed","Just Landed","Cantoma",2016-05-27,304266,43,spotify:user:seankmchenry,2017-03-01T03:55:12Z,"chill lounge",0.67,0.603,5,-9.751,0,0.0347,0.171,0.931,0.0791,0.879,120.022,4
6WYCTAFeTwbuXibIIQ0vPe,"6JGGS3JOcMIxa0QF6pFnzN","Evening Shadows","Island of Dreams","D.K.",2015,222540,33,spotify:user:seankmchenry,2017-03-02T04:42:00Z,"float house",0.573,0.468,9,-9.27,0,0.0266,0.467,0.897,0.236,0.122,81.953,4
1xVmv0HDUOeCJtxOlm2SQz,"6GNWPphcJ5CtIwCJVV1lLT,4VnaEWTHIwbqbDCwNPpfde","Time Of Nectar - Original Mix","Circadia","Tornado Wallace,Jonny Nash",2014-09-22,419427,8,spotify:user:seankmchenry,2017-03-02T04:42:30Z,"australian house,balearic,deep soul house,float house,experimental ambient,fourth world",0.736,0.721,10,-11.079,0,0.0397,0.0434,0.866,0.0792,0.145,106.979,4
110a35ctjMT1ng44zdcM9I,"0mwCI9ZfHyOj3ENpFd6AEn","Island Sunrise","Sunstorm - Best Of! Vol. 2","Software",2008,392400,0,spotify:user:seankmchenry,2017-03-02T04:47:04Z,"organic ambient",0.589,0.426,7,-14.188,1,0.0328,0.863,0.868,0.114,0.276,126.289,4
7y5u1Ona2XQwggBvxEt8em,"1SSQKcEQdGmpu9MQRXcJ9i","Sun Room","Café del Mar, Vol. 22","Wilson Tanner",2016-08-05,292287,16,spotify:user:seankmchenry,2017-03-02T04:51:59Z,"australian ambient,australian experimental,fourth world",0.403,0.0928,2,-20.148,0,0.0347,0.823,0.944,0.109,0.0362,114.214,4
1KijSNNPNQ8N0FRezayFLI,"6WHCgS2g18qWw45K66DdRZ","Escape Hatch","Escape Hatch (Bonus Track Version)","Seahawks",2016-08-26,494662,10,spotify:user:seankmchenry,2017-03-22T00:53:40Z,"balearic,uk experimental electronic",0.511,0.703,0,-12.668,0,0.0444,0.125,0.924,0.274,0.129,106.993,4
2lFpSgJwVSWMLvhchsSSnz,"69SzexVRRKFGpliMowL7ZZ","Healing Channel","Octagon Blues","Garrett David",2016-08-19,320000,0,spotify:user:seankmchenry,2017-03-23T03:03:40Z,"hardvapour,lo-fi house",0.441,0.323,8,-14.869,0,0.0399,0.856,0.952,0.104,0.0392,117.922,4
4Nx1i8uLbd9A4soJN1ogRB,"4gL09KXlpi9W3wcoyAM15P","Mokushō","Music For Presence","Mark Barrott",2017-03-03,319268,6,spotify:user:seankmchenry,2017-03-23T03:04:26Z,"balearic",0.237,0.316,5,-14.04,0,0.0305,0.426,0.958,0.0663,0.116,69.981,3
7pFIFrZEhlVONoGfbvz78y,"55Y7NJGTHhz09JvukpIqch","Galatea Point","In Eco","Soda Lite",2017-02-13,252000,1,spotify:user:seankmchenry,2017-03-25T03:50:32Z,"australian ambient",0.266,0.125,1,-21.317,1,0.05,0.699,0.884,0.0536,0.0781,114.07,4
2yqhykk0V8ClLvcaRQdcd1,"3VMuEdAr2K5O45tO55VSQE","Ljusår","Farbror Resande Mac","Farbror Resande Mac",2017-03-24,318061,4,spotify:user:seankmchenry,2017-04-03T18:34:43Z,"",0.736,0.251,9,-17.571,0,0.0839,0.369,0.912,0.107,0.589,144.995,4
35Q1IsHlI5FTSHCSzdzPgg,"55Y7NJGTHhz09JvukpIqch","Aurai","In Eco","Soda Lite",2017-02-13,298000,2,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"australian ambient",0.25,0.062,11,-27.88,1,0.0418,0.717,0.897,0.0653,0.0389,90.855,3
35OYuMGWTh9bUHZesq2s03,"55Y7NJGTHhz09JvukpIqch","Lagoon","In Eco","Soda Lite",2017-02-13,194000,10,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"australian ambient",0.175,0.0922,5,-26.032,1,0.0327,0.84,0.951,0.0618,0.0384,134.824,5
4ezqTPTm5BbgYhmilU1sV0,"2rxgmguaQSynTMnBKZL73G","Another Place","The Distance","Gaussian Curve",2017-04-17,257940,20,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"dutch experimental electronic,fourth world,shoegaze",0.172,0.0703,8,-18.581,0,0.0366,0.99,0.831,0.115,0.0364,64.995,4
6fRe1HqOz7l8UmpJOBFW4K,"4VnaEWTHIwbqbDCwNPpfde","Lime","Eden","Jonny Nash",2017-03-08,439475,13,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"experimental ambient,fourth world",0.284,0.00454,9,-27.563,0,0.0403,0.99,0.789,0.0767,0.0861,86.935,4
0NzPXwS3DeDuc43vRf9O5K,"73IRHBhotETMmgvRCEyTCS","In The Courtyard","On Vacation","CFCF",2016-02-19,121066,16,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"balearic,chillwave",0.102,0.141,0,-16.528,1,0.0418,0.932,0.903,0.126,0.116,59.435,4
6t1NEOygU0XJxixUZhfpzy,"1xpjdGNm3ipMNPZ9eRwH14","Dreamwalker","The Calm","Greeen Linez",2015-07-24,233805,2,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"vaporwave",0.131,0.345,7,-10.434,0,0.0331,0.913,0.0665,0.172,0.108,71.318,4
6jNJu8qkMiHAH76D8tezxn,"2rxgmguaQSynTMnBKZL73G","Red Light","Clouds","Gaussian Curve",2015-04-16,363392,34,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"dutch experimental electronic,fourth world,shoegaze",0.486,0.0834,3,-19.097,0,0.0409,0.932,0.937,0.337,0.443,127.854,4
4V6GD9E9eF2zdi2hb5QcQ8,"4VnaEWTHIwbqbDCwNPpfde","A Shallow Space","Phantom Actors","Jonny Nash",2014-09-01,241390,7,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"experimental ambient,fourth world",0.247,0.011,5,-28.331,1,0.0352,0.991,0.932,0.0915,0.132,70.261,1
5laqB5GHOfTXGyz0sKxOuD,"6toHLoCsmqKPjtprSVucxz","The Deep","Reflections","X.Y.R.",2017-06-30,349000,4,spotify:user:seankmchenry,2017-10-11T13:35:05Z,"vaporwave",0.6,0.235,10,-17.43,1,0.0408,0.888,0.892,0.621,0.432,121.982,4
6vU0nFKGKVLUeqp7Gj4QuE,"3yjmQDYGp9XYnFwptDvYc4","Before You Go","Street Dreams","Lyle Mays",1988,413240,22,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"jazz fusion,jazz piano",0.56,0.424,5,-13.749,0,0.0261,0.593,0.836,0.0879,0.572,149.926,4
6ZZHrkM9HlZ0DYsYl3Nrly,"7DSX8wua9P7LuGapEmftQc,6DASyEwgMVz1aU1EpgpwWv","After the Rain","After the Rain","Sleep D,Albrecht La'Brooy",2017-12-04,298262,11,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"aussietronica,australian ambient",0.255,0.17,7,-20.43,1,0.0557,0.936,0.946,0.126,0.18,138.836,3
0vC83bnVkDFg21wGDD7quE,"3wwuG9l3BnBrovYFoeyo07","Otter Glide","Aqua Touch","Danny Heines",1990-01-01,259933,1,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"",0.569,0.226,11,-20.445,0,0.0439,0.953,0.854,0.0809,0.336,172.822,4
3v0pTF3xIAvAML3jTUKSVB,"6GNWPphcJ5CtIwCJVV1lLT","Mermaid Beach","Chill Pill","Tornado Wallace",2019-08-23,258872,15,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"australian house,balearic,deep soul house,float house",0.61,0.666,4,-10.076,1,0.0339,0.17,0.378,0.121,0.905,90.059,4
6EvWjiZZhu8gYmAp52sT4X,"3xqrRhBSgCer7lokC0Lhk4","Cave by the Ocean","Songs in the Key of Earth, Vol. 1","CoryaYo",2020-04-03,100000,41,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"chillhop,jazz boom bap",0.247,0.0358,3,-25.204,1,0.0366,0.946,0.92,0.309,0.152,75.688,5
7q28kyHD18gDqL5HpOXnWk,"7IRQwSJSMH7eQkLAezNZKQ","Lounsbury Gardens - Original Mix","Patio Pastels EP","Blair French",2019-05-17,257000,1,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"",0.624,0.712,1,-8.218,1,0.0294,0.74,0.917,0.087,0.781,149.989,4
6LwFIDgp5OZlSQSxOTH9Zt,"003Lrmd4Hy04kSf0wZm3xm","Oslo House Sunrise 4K","Afterglow","Yamaneko",2018-08-30,166000,16,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"experimental ambient,experimental synth,weightless",0.371,0.315,9,-17.613,0,0.0482,0.99,0.992,0.0831,0.0595,93.159,5
1H0OfgfvxhCJj5HIqO4TUt,"39DD6k6CJBRV8FjAMcrV5u,7qlFXCufyt5bgI52L6v6xb,66hfV85MejMoPdpTS6Z9vG","Portofino","Portofino","The Swan And The Lake,Emil de Waal,Johan Liepstack",2018-03-30,444130,4,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"",0.563,0.499,0,-13.509,1,0.033,0.856,0.96,0.0834,0.431,110.031,4
5Aw5zdeaK7VKh9Sfbx8mnx,"2FomTu9EN5sFdlWpwBbP95","Tahiti Blue","Oceania","Tropical Hi-Fi",2017-06-23,294829,4,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"australian ambient",0.844,0.719,9,-11.508,0,0.058,0.822,0.719,0.273,0.523,115.265,4
2L3OGHjbZbvoFy31JvxHnV,"6wy22BewtnpjMpQahRiO4b","Ocean Views","Mosaic","Mark Egan",1993,354000,3,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"electric bass",0.771,0.303,4,-24.552,0,0.0325,0.768,0.87,0.0658,0.587,116.302,4
4iZsA73dHVOCes9ajEIvZb,"2hpGghDrjGDIpQEw5S9WY2","Atoll","Sub-Aquatic Meditation","Panabrite",2012-05-26,151248,8,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"abstractro",0.569,0.242,2,-18.348,1,0.0356,0.981,0.684,0.107,0.278,121.473,4
0eCrIkb4CKuvvB3blsPrjW,"26Q2iTfEd9ehajhSKAmM72","Island Drift","Pure Sounds of Michigan","Todd Modes",2019-05-22,377607,4,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"",0.205,0.343,2,-18.697,1,0.097,0.943,0.903,0.268,0.102,81.049,4
42cVH8NoQ5umf1CfeLc2yA,"3F2xJJm5pAo71WBPzdcFJ6","City of Sand","Pure Sounds of Michigan","Nuntheless",2019-05-22,385079,3,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"",0.14,0.276,3,-16.172,1,0.0434,0.967,0.961,0.375,0.0337,97.334,1
2meYWsITxmRbnZTUtA3bEV,"3xqrRhBSgCer7lokC0Lhk4","Forest Light Prisms","Songs in the Key of Earth, Vol. 2","CoryaYo",2020-05-05,112000,5,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"chillhop,jazz boom bap",0.22,0.0463,1,-25.193,1,0.0649,0.937,0,0.106,0.0987,166.701,3
3ytw1cbmUChi5GUqntLRpG,"3xqrRhBSgCer7lokC0Lhk4","Tropical Rain","Songs in the Key of Earth, Vol. 2","CoryaYo",2020-05-05,220625,6,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"chillhop,jazz boom bap",0.0938,0.0635,8,-26.757,0,0.0401,0.881,0.881,0.172,0.213,68.599,4
4z5onxanPWHhXmAdrOD7ZY,"0QNniWQaunyNwx2TgIc3LD","Settled","First Light (Volume 1)","Angophora",2018-02-09,280592,5,spotify:user:seankmchenry,2021-11-16T20:24:40Z,"australian ambient",0.495,0.349,0,-11.995,1,0.0324,0.946,0.891,0.0937,0.225,163.935,4
