Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
23kAlcIn8ODKeQN8AJqAbT,"Floating Mountains","Floating Mountains","Soshi Takeda",2021-10-08,361569,23,,1970-01-01T00:00:00Z,"japanese house","100% Silk",0.665,0.55,6,-11.723,0,0.0442,0.0337,0.882,0.0865,0.882,119.992,4
3WD2cic9S2VrGIb6h114MM,"Mariposa","Mariposa","Peach Tree Rascals",2019-08-28,210000,67,,1970-01-01T00:00:00Z,"pov: indie","Homemade Projects, LLC / TenThousand Projects, LLC",0.69,0.528,9,-6.1,1,0.027,0.647,0,0.428,0.427,112.001,4
6T3TGSErqpDLF6z0Ml90eg,"Quarry","Floating Mountains","Soshi Takeda",2021-10-08,314856,13,,1970-01-01T00:00:00Z,"japanese house","100% Silk",0.625,0.501,8,-13.471,1,0.0288,0.0644,0.537,0.086,0.761,100,4
4fjH34ocMfIMmm87nLRopC,"Lantern Reflection","Floating Mountains","Soshi Takeda",2021-10-08,395353,13,,1970-01-01T00:00:00Z,"japanese house","100% Silk",0.624,0.758,11,-11,0,0.0842,0.316,0.938,0.164,0.7,119.982,4
1TSJvLS7GXyhxhPVk3IQBh,"Lost My Mind","Pedal Steel Guitar","Will Van Horn",2018-10-15,229380,43,,1970-01-01T00:00:00Z,"","Crystal Beach",0.733,0.37,0,-10.433,0,0.0455,0.627,0.903,0.108,0.88,145.089,4
6ZtrYnpBz62jtXV4z4wSJC,"Santa Ana Winds","Urban Oasis","Dino Pacifici",1996,299978,0,,1970-01-01T00:00:00Z,"","CMC Records",0.727,0.437,7,-10.819,0,0.0298,0.523,0.271,0.0717,0.475,119.406,4
3EpJ36yrwkPvlUXKeQa7ca,"Summer Samba (So Nice)","Rain Forest","Walter Wanderley",1966,186960,31,,1970-01-01T00:00:00Z,"exotica,jazz organ,space age pop","Verve Reissues",0.746,0.529,9,-10.293,0,0.0312,0.714,0.000636,0.108,0.839,130.531,4
1l9tVLcxl14sfIbLZlbzJg,"On A Roll","Sails","Chet Atkins",1987-06-02,319800,5,,1970-01-01T00:00:00Z,"nashville sound","Columbia",0.624,0.492,7,-11.279,1,0.0265,0.375,0.363,0.0905,0.359,92.471,4
3FS3NeItouHHw16cBFnQwS,"Alberto Balsalm","Pedal Steel Guitar","Will Van Horn",2018-10-15,219079,31,,1970-01-01T00:00:00Z,"","Crystal Beach",0.71,0.612,5,-12.111,0,0.0327,0.237,0.893,0.0937,0.471,94.516,4
6RZ9lSor7Nfku3SrI8r4V5,"Crawl Space","Crawl Space","Art Farmer",1977,531453,25,,1970-01-01T00:00:00Z,"bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz trumpet","CTI",0.561,0.593,5,-12.329,0,0.0581,0.848,0.853,0.0815,0.915,176.455,4
