Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0V2Y1i285fuqn9DDAk0CBK,"You Win, I Lose","This Is Love","Hal Bradbury",2014-05-05,239106,13,seankmchenry,2020-10-09T12:29:41Z,"","BBE Music",0.751,0.636,7,-8.912,0,0.198,0.434,0.00000336,0.0532,0.53,92.287,4
0jNTJSaktLVy8iAi7KY2zB,"Too Hot","Ladies' Night","Kool & The Gang",1979-05-13,295160,50,seankmchenry,2020-10-09T12:29:42Z,"disco,funk,motown,soft rock,soul","Island Def Jam",0.717,0.253,7,-22.231,0,0.161,0.56,0.0000285,0.0556,0.737,105.289,4
60vjQuoDRlY8n0u4x7xLEp,"Driftin'","The Best Of The Alessi Brothers","Alessi Brothers",1998-01-01,190560,14,seankmchenry,2020-10-09T12:33:39Z,"yacht rock","A&M",0.763,0.597,4,-11.035,1,0.0545,0.237,0.000248,0.0915,0.956,99.247,4
3UTGUg0joTS5EB8YAD7W28,"To Prove My Love","Prone","Ned Doheny",1978-12-16,286533,26,seankmchenry,2020-10-09T12:34:41Z,"deep soft rock,yacht rock","Legacy Recordings",0.784,0.619,9,-12.815,0,0.0304,0.343,0.106,0.0421,0.954,112.944,4
0qnfAVtzFPY0pOGYpTkZeY,"I Gotta Try","If That's What It Takes","Michael McDonald",1982-08-03,235333,49,seankmchenry,2020-10-09T12:34:54Z,"mellow gold,soft rock,yacht rock","Reprise",0.808,0.417,9,-15.226,0,0.0316,0.103,0,0.0609,0.887,114.558,4
3IGewqayNlFWCa14ttTD1D,"Simone","Middle Man","Boz Scaggs",1980,308293,0,seankmchenry,2020-10-09T12:35:12Z,"classic rock,mellow gold,singer-songwriter,soft rock,yacht rock","Columbia/Legacy",0.657,0.728,2,-7.889,0,0.0451,0.214,0.0000082,0.0528,0.709,116.009,4
0SzAKZYTUvDLqlPgllEb3N,"Ai No Corrida","The Dude","Quincy Jones,Charles May",1981-03-28,386360,56,seankmchenry,2020-10-09T12:36:17Z,"soul jazz","A&M",0.798,0.748,11,-12.163,0,0.036,0.0555,0.105,0.0615,0.896,122.429,4
38LUbz74v3nmP8x0efElw2,"Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,59,seankmchenry,2020-10-09T12:37:49Z,"classic city pop","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
2fLs31SM9glgTkmJH3WR4W,"Living In A Dream","On The Edge","Sea Level",1978-01-01,274040,26,seankmchenry,2020-10-09T12:37:55Z,"southern rock,yacht rock","Mercury Records",0.675,0.813,2,-8.172,0,0.035,0.467,0.0593,0.115,0.693,90.187,4
4O9Af9tLDms3pGri4MjsIw,"O.C.O.E. (Official Cat Of The Eighties)","Pages","Pages",1981,300000,35,seankmchenry,2020-10-09T12:38:08Z,"deep soft rock,yacht rock","Capitol Records",0.785,0.6,1,-8.261,1,0.0686,0.0724,0.0136,0.149,0.746,104.818,4
6Fsr6SomNFWnWgCPgqBs1T,"Cruisin","Cruisin","LAVA",1982-01-01,311722,4,seankmchenry,2020-10-09T12:38:20Z,"deep soft rock","Universal Music AS",0.483,0.443,4,-9.759,1,0.0281,0.3,0.0000127,0.109,0.529,121.171,4
41A98cJexOEPLj6jCHXplA,"Nobody's Business","Maxus","Maxus",1981,201440,35,seankmchenry,2020-10-09T12:42:59Z,"deep soft rock,yacht rock","Rhino/Warner Records",0.746,0.481,6,-10.062,1,0.0406,0.217,0,0.127,0.627,122.464,4
2GZNbWCzsNT1wYiKxy915t,"Seeing Is Believing","Happy People","Paulinho Da Costa",1979-01-01,239533,38,seankmchenry,2020-10-09T12:43:15Z,"deep soft rock,yacht rock","Pablo",0.604,0.661,0,-11.416,0,0.029,0.232,0.19,0.294,0.888,108.994,4
4cgjA7B4fJBHyB9Ya2bu0t,"Human Nature","Thriller","Michael Jackson",1982-11-30,246040,67,seankmchenry,2020-10-09T12:45:06Z,"r&b,soul","Epic",0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4
