Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Q70eaVbwHkiV5a3NIBXW2,"2YOYua8FpudSEiB9s88IgQ,2rhFzFmezpnW82MNqEKVry,4ucIxjoWFS3n9KvguhTWpz","Always Saucy (with Ski Mask The Slump God & TrippythaKid)","Gasanova","Yung Gravy,Ski Mask The Slump God,TrippyThaKid",2020-10-02,192199,60,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop,miami hip hop,rap,dark trap,meme rap",0.806,0.578,4,-8.184,0,0.152,0.276,0,0.518,0.694,127.888,4
3g7fAvrGvvgMUE35p2rSIL,"2YOYua8FpudSEiB9s88IgQ","Martha Stewart","Gasanova","Yung Gravy",2020-10-02,205562,50,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.756,0.559,0,-7.977,0,0.149,0.197,0.0000109,0.132,0.336,158.146,4
42VCXFtKJe4AfOAPCT1AWI,"2YOYua8FpudSEiB9s88IgQ,22g86cix6LCeLMbu3m91Wo","Bags of Chips (with Bobby Raps)","Gasanova","Yung Gravy,Bobby Raps",2020-10-02,154190,44,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop,emo rap,underground hip hop",0.769,0.589,3,-8.061,0,0.224,0.0106,0.0000895,0.151,0.68,162.946,4
5qOQocEWGjKAtttJQqLP9D,"2YOYua8FpudSEiB9s88IgQ,3HiuzBlSW7pGDXlSFMhO2g","Steve Austin (with Young Dolph)","Gasanova","Yung Gravy,Young Dolph",2020-10-02,164158,45,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap",0.82,0.585,8,-7.954,1,0.213,0.0734,0.0000018,0.322,0.825,159.926,4
7L6G0wpIUiPXuvoo7qhb06,"2YOYua8FpudSEiB9s88IgQ","oops!","Gasanova","Yung Gravy",2020-10-02,139759,71,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902,4
4OUY3FgUqy3UAqDQHnsaa6,"2YOYua8FpudSEiB9s88IgQ","yup!","Gasanova","Yung Gravy",2020-10-02,189000,60,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.769,0.744,9,-4.934,1,0.0887,0.0784,0.00112,0.0784,0.592,160.118,4
3vvYa2pEZxsshYtTp6yHNT,"2YOYua8FpudSEiB9s88IgQ,41X1TR6hrK8Q2ZCpp2EqCz","Whole Foods (with bbno$)","Gasanova","Yung Gravy,bbno$",2020-10-02,159155,49,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop,canadian hip hop,dark trap,vapor trap",0.84,0.526,8,-9.466,1,0.25,0.244,0,0.0545,0.746,80.059,4
4Qek8SxjC525YbqWhZduPU,"2YOYua8FpudSEiB9s88IgQ","Gas Money","Gasanova","Yung Gravy",2020-10-02,166616,51,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.764,0.516,11,-8.616,0,0.232,0.00244,0.0000036,0.407,0.701,159.14,4
4tBoEGXhrurJ6xEDNej9p1,"2YOYua8FpudSEiB9s88IgQ","Party at my Mama’s House","Gasanova","Yung Gravy",2020-10-02,212565,44,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.828,0.723,11,-7.704,0,0.111,0.0569,0,0.4,0.736,120.019,4
67UHEdRE4RuNoLSDpd6kdq,"2YOYua8FpudSEiB9s88IgQ,15iVAtD3s3FsQR4w1v6M0P","Drip on My Dresser (with Chief Keef)","Gasanova","Yung Gravy,Chief Keef",2020-10-02,168872,41,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop,chicago bop,chicago drill,chicago rap,drill,hip hop,rap,southern hip hop,trap,underground hip hop",0.737,0.648,5,-6.786,0,0.213,0.0617,0,0.339,0.751,74.007,4
3XncBqajB1PYvQBO5AoLCY,"2YOYua8FpudSEiB9s88IgQ","Miami Ice","Gasanova","Yung Gravy",2020-10-02,156032,54,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.803,0.555,1,-8.97,0,0.138,0.193,0,0.296,0.605,100.049,4
0tVT4qCprhjeWXgiTf0yka,"2YOYua8FpudSEiB9s88IgQ","Swimming Lessons","Gasanova","Yung Gravy",2020-10-02,164387,42,spotify:user:seankmchenry,2023-01-09T14:48:53Z,"minnesota hip hop",0.875,0.417,0,-9.5,1,0.153,0.161,0,0.114,0.277,131.922,4
