Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6LcH9fTIkzqMgJ5B4Pc8gJ,"2AM4ilv6UzW0uMRuqKtDgN","2000 Blues","Recycler","ZZ Top",1990-10-16,283306,26,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.508,0.535,2,-10.333,1,0.0276,0.0322,0.107,0.0541,0.43,152.041,3
3ZjH002CzR6YKfAaizNTg4,"2AM4ilv6UzW0uMRuqKtDgN","Concrete and Steel","Recycler","ZZ Top",1990-10-16,229200,31,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.652,0.759,9,-10.125,1,0.0338,0.00226,0.000233,0.149,0.774,123.984,4
4lqJ26pXnyNmZCEyNzQhuJ,"2AM4ilv6UzW0uMRuqKtDgN","Lovething","Recycler","ZZ Top",1990-10-16,205933,25,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.571,0.78,8,-10.347,1,0.0392,0.00607,0.00113,0.268,0.845,152.015,4
1oOW2ePDUGFDxcQ60n9wBt,"2AM4ilv6UzW0uMRuqKtDgN","Penthouse Eyes","Recycler","ZZ Top",1990-10-16,227240,23,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.669,0.779,0,-9.589,0,0.029,0.00074,0.000909,0.184,0.95,111.998,4
1E6bc7LCP0l2Arax4SYmJF,"2AM4ilv6UzW0uMRuqKtDgN","Tell It","Recycler","ZZ Top",1990-10-16,288693,22,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.628,0.567,7,-11.542,0,0.0243,0.0045,0.00227,0.0613,0.369,91.979,4
0Ilvyz0S7QM7kWZpgWYoCl,"2AM4ilv6UzW0uMRuqKtDgN","Decision or Collision","Recycler","ZZ Top",1990-10-16,242933,28,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.531,0.864,9,-9.692,1,0.0468,0.0201,0.00593,0.232,0.72,163.945,4
4Nm1dKcDgsacRITdywmeWi,"2AM4ilv6UzW0uMRuqKtDgN","Burger Man","Recycler","ZZ Top",1990-10-16,199760,30,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.561,0.764,2,-9.871,0,0.0412,0.000948,0.00473,0.318,0.881,151.931,4
57zvMcOgGJLQxZ2hsFgJ5S,"2AM4ilv6UzW0uMRuqKtDgN","My Head's in Mississippi","Recycler","ZZ Top",1990-10-16,261026,45,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.456,0.731,2,-8.614,1,0.0473,0.00123,0.0156,0.0773,0.596,75.997,4
57JtOe7GSDOWbIB71EOCNj,"2AM4ilv6UzW0uMRuqKtDgN","Doubleback","Recycler","ZZ Top",1990-10-16,236200,44,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.655,0.673,5,-10.187,1,0.0301,0.0698,0.000144,0.372,0.558,123.913,4
470PZEQc7PUnvhp73hSrJc,"2AM4ilv6UzW0uMRuqKtDgN","Give It Up","Recycler","ZZ Top",1990-10-16,209426,32,spotify:user:seankmchenry,2022-10-14T15:57:45Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.664,0.665,10,-9.881,1,0.0282,0.00812,0.000114,0.149,0.53,123.95,4
1ESuT2y9AKu1zMdxq47qW5,"2AM4ilv6UzW0uMRuqKtDgN","Sleeping Bag","Afterburner","ZZ Top",1985-10-28,242333,46,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.62,0.688,7,-12.892,1,0.0435,0.00181,0.00482,0.0464,0.793,112.122,4
4Sx0FBH0vNWZVxeUCpdHoL,"2AM4ilv6UzW0uMRuqKtDgN","Stages","Afterburner","ZZ Top",1985-10-28,212026,43,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.453,0.787,7,-13.397,1,0.0327,0.0519,0.00478,0.166,0.834,75.876,4
5DAWFvcrsfMOkLwGvxLcjG,"2AM4ilv6UzW0uMRuqKtDgN","Woke up with Wood","Afterburner","ZZ Top",1985-10-28,225533,38,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.577,0.764,7,-13.013,0,0.0296,0.053,0.000567,0.324,0.569,134.617,4
09C7ULYG1WhWgngwkkvVxN,"2AM4ilv6UzW0uMRuqKtDgN","Rough Boy","Afterburner","ZZ Top",1985-10-28,289160,58,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.457,0.48,9,-15.776,1,0.03,0.38,0.016,0.142,0.683,157.967,4
7A1G4cFoivSdoryjH9w2z6,"2AM4ilv6UzW0uMRuqKtDgN","Can't Stop Rockin'","Afterburner","ZZ Top",1985-10-28,181666,51,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.49,0.914,7,-12.24,1,0.0358,0.0167,0.00335,0.189,0.884,148.943,4
6VdlbIPdzJYj35Tq05vsH5,"2AM4ilv6UzW0uMRuqKtDgN","Planet of Women","Afterburner","ZZ Top",1985-10-28,242866,36,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.462,0.863,4,-12.964,1,0.0343,0.0265,0.000644,0.271,0.712,75.673,4
2aiEUliMu3v4xxbF48Z6WG,"2AM4ilv6UzW0uMRuqKtDgN","I Got the Message","Afterburner","ZZ Top",1985-10-28,207973,29,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.669,0.894,7,-11.434,1,0.0358,0.0477,0.134,0.252,0.785,123.252,4
511XWfaUgmaVcms4OhQ9oz,"2AM4ilv6UzW0uMRuqKtDgN","Velcro Fly","Afterburner","ZZ Top",1985-10-28,209133,36,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.563,0.835,7,-13.003,0,0.0336,0.0306,0.00186,0.0554,0.909,151.585,4
4m4XQfjhxm5lV7AT38aeK1,"2AM4ilv6UzW0uMRuqKtDgN","Dipping Low (In the Lap of Luxury)","Afterburner","ZZ Top",1985-10-28,191240,37,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.633,0.889,5,-11.395,1,0.0292,0.0561,0.00387,0.18,0.688,122.839,4
2CP1Ol1PQL06OkhJYCrso5,"2AM4ilv6UzW0uMRuqKtDgN","Delirious","Afterburner","ZZ Top",1985-10-28,221626,34,spotify:user:seankmchenry,2022-10-14T15:57:46Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.451,0.925,6,-11.862,0,0.0375,0.00872,0.0489,0.313,0.594,81.847,4
0OBwxFLu6Yj61s2OagYbgY,"2AM4ilv6UzW0uMRuqKtDgN","Gimme All Your Lovin'","Eliminator","ZZ Top",1983-03-23,241080,70,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,4
1jzZZsfzxsebFa6KpWXaAr,"2AM4ilv6UzW0uMRuqKtDgN","Got Me Under Pressure - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,243066,55,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.607,0.939,2,-4.95,1,0.0375,0.0166,0.0081,0.0941,0.764,157.957,4
1UBQ5GK8JaQjm5VbkBZY66,"2AM4ilv6UzW0uMRuqKtDgN","Sharp Dressed Man - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,258026,73,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4
4s22XSQoOFvN5HrXk9YZ3I,"2AM4ilv6UzW0uMRuqKtDgN","I Need You Tonight - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,378626,48,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.653,0.653,0,-5.164,1,0.0252,0.0579,0.311,0.339,0.513,96.914,4
2WcnvJKsp1aYs8xp2nJyDN,"2AM4ilv6UzW0uMRuqKtDgN","I Got the Six - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,174240,47,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.62,0.893,5,-4.076,1,0.0414,0.00401,0.0408,0.123,0.938,150.102,4
7t6CAWplijBj4sdl0q3z0e,"2AM4ilv6UzW0uMRuqKtDgN","Legs - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,273906,61,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.611,0.946,4,-5.357,1,0.0378,0.00957,0.0708,0.36,0.763,125.398,4
2pOk2SDsJhO7o8xtfXf1jy,"2AM4ilv6UzW0uMRuqKtDgN","Thug - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,259440,38,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.868,0.706,0,-6.849,1,0.0752,0.0322,0.519,0.24,0.643,120.15,4
4c0IaYoW94OEFhJE40zcQb,"2AM4ilv6UzW0uMRuqKtDgN","TV Dinners - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,230573,41,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.77,0.66,2,-4.441,1,0.0278,0.048,0.138,0.324,0.619,100.092,4
1RLc2ojStMvkdkM00owYkm,"2AM4ilv6UzW0uMRuqKtDgN","Dirty Dog - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,246613,36,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.604,0.938,4,-5.452,0,0.0367,0.00232,0.00259,0.294,0.726,136.37,4
12kRyzNezk2nE2EzJ2nq2l,"2AM4ilv6UzW0uMRuqKtDgN","If I Could Only Flag Her Down - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,220146,36,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.518,0.912,11,-5.386,1,0.0697,0.00132,0.00234,0.048,0.496,149.95,4
6xjNioXsWUYOduKYUrjuEX,"2AM4ilv6UzW0uMRuqKtDgN","Bad Girl - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,202400,39,spotify:user:seankmchenry,2022-10-14T15:57:48Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.581,0.944,2,-5.543,1,0.0583,0.014,0.0144,0.363,0.678,162.203,4
4gY07XF01nlzHuPNlMFnBe,"2AM4ilv6UzW0uMRuqKtDgN","It's Only Love","Tejas","ZZ Top",1976-11-29,263626,30,spotify:user:seankmchenry,2022-10-14T15:57:49Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.7,0.592,11,-10.434,1,0.0681,0.108,0.0184,0.118,0.906,109.847,4
